season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,1,1,1,,,LIJiajun,7095,CHN,2:24.732,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,1,2,5,,,NicolaRODIGARI,6332,ITA,2:24.786,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,1,3,2,,,BrunoLOSCOS,6643,FRA,2:25.024,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,1,4,3,,,AndrewQUINN,6757,CAN,2:25.435,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,1,5,4,,,JoshuaMARDEN,6606,AUS,2:31.736,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,2,1,2,,,MicheleANTONIOLI,6330,ITA,2:32.156,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,2,2,3,,,Francois-LouisTREMBLAY,6704,CAN,2:32.308,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,2,3,1,,,FENGKai,6058,CHN,2:32.359,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,2,4,4,,,HayatoSUEYOSHI,6321,JPN,2:32.367,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,2,5,5,,,ZsoltLAJOS,6493,HUN,2:35.597,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,3,1,1,,,KIMDong-Sung,6944,KOR,2:30.969,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,3,2,2,,,ApoloAntonOHNO,6497,USA,2:31.039,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,3,3,3,,,StevenBRADBURY,6430,AUS,2:31.187,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,3,4,4,,,TakafumiNISHITANI,6323,JPN,2:31.303,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,3,5,5,,,KornelSZANTO,6338,HUN,2:31.444,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,4,1,1,,,MINRyoung,6619,KOR,2:30.272,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,4,2,3,,,RustySMITH,6496,USA,2:30.295,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,4,3,2,,,ANYulong,6656,CHN,2:30.315,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,4,4,5,,,MarkMcNEE,6432,AUS,2:31.109,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,4,5,4,,,MarkJACKSON,6941,NZL,2:31.116,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,5,2,4,,,BalazsKNOCH,6341,HUN,2:36.965,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,5,3,1,,,FabioCARTA,6001,ITA,2:41.831,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,5,4,5,,,TomO'HARE,6500,USA,2:44.654,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,5,5,6,,,EricBEDARD,6703,CAN,2:45.663,
1999-2000,1999 World Cup - Nobeyama,1500M,m,Heats,5,DQ,3,,,LEESeung-Jae,6621,KOR,DQ,
