season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,1,2,4,,,DenisZASLAVSKY,6335,ISR,44.098,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,1,3,2,,,AlexVELZEBOER,6539,NED,44.350,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,1,4,1,,,MatusUZAK,6510,SVK,44.622,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,2,1,1,,,KIMDong-Sung,6944,KOR,42.936,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,2,2,4,,,DaveALLARDICE,6642,GBR,43.222,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,2,3,3,,,DaveVERSTEEG,6540,NED,43.961,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,2,4,2,,,TobiasRETSCHKE,6636,GER,44.352,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,3,1,3,,,NicolaRODIGARI,6332,ITA,43.429,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,3,2,4,,,TakafumiNISHITANI,6323,JPN,43.726,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,3,3,1,,,MiroslavBOIADJIEV,6777,BUL,44.006,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,3,4,2,,,RichardGOERLITZ,6063,AUS,44.055,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,4,1,1,,,EricBEDARD,6703,CAN,42.702,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,4,2,3,,,RustySMITH,6496,USA,42.963,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,4,3,4,,,MINRyoung,6619,KOR,43.077,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,4,4,2,,,YUANYe,6657,CHN,43.407,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,5,1,2,,,ANYulong,6656,CHN,43.186,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,5,2,1,,,DanielWEINSTEIN,6940,USA,43.958,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,5,3,3,,,MatthewJASPER,7093,GBR,44.234,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,5,4,4,,,DaneFRANCIS,6429,AUS,44.991,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,6,1,2,,,Francois-LouisTREMBLAY,6704,CAN,43.635,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,6,2,3,,,MartinJOHANSSON,6509,SWE,44.409,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,6,3,1,,,GregoryDURAND,6646,FRA,45.230,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,6,DQ,4,,,MarkJACKSON,6941,NZL,DQ,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,7,1,2,,,LIJiajun,7095,CHN,43.281,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,7,2,1,,,JoostSMIT,6541,NED,43.572,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,7,3,3,,,SEOHo-Jin,6547,KOR,43.988,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,7,4,4,,,AlexMcEWAN,6428,AUS,44.533,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,8,1,2,,,MaurizioCARNINO,6333,ITA,43.612,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,8,2,1,,,BrunoLOSCOS,6643,FRA,43.910,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,8,3,4,,,YevgenYAKOVLEV,6751,UKR,45.012,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,8,4,3,,,AndreHARTWIG,6635,GER,57.816,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,9,1,4,,,MarcGAGNON,6701,CAN,42.913,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,9,2,1,,,SatoruTERAO,6320,JPN,43.046,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,9,3,3,,,NickyGOOCH,6640,GBR,43.063,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,9,4,2,,,KirilPANDOV,6779,BUL,44.679,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,10,1,1,,,TakehiroKODERA,6324,JPN,43.375,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,10,2,4,,,AssenPANDOV,6778,BUL,43.516,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,10,3,2,,,FabioCARTA,6001,ITA,44.148,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,10,4,3,,,JonathanCLEINE,6534,NZL,1:00.104,
2000-2001,2000 World Cup - Calgary,500M,m,Preliminaries,10,DQ,5,,,ArianNACHBAR,6637,GER,DQ,
