season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,1,1,1,,,KOREA,7300,KOR,7:07.184,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,1,2,2,,,NETHERLANDS,7321,NED,7:14.519,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,1,3,3,,,BULGARIA,7392,BUL,7:18.634,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,2,1,2,,,CANADA,7309,CAN,7:12.170,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,2,2,1,,,GREATBRITAIN,7320,GBR,7:15.053,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,2,3,3,,,AUSTRALIA,7305,AUS,7:27.219,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,3,1,2,,,CHINA,7303,CHN,7:08.427,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,3,2,3,,,JAPAN,7304,JPN,7:08.500,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,3,3,1,,,ITALY,7301,ITA,7:10.749,
2000-2001,2000 World Cup - Provo,5000MRelay,m,Heats,3,4,4,,,UNITEDSTATES,7306,USA,7:17.214,
