season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,1,1,1,,,LEESeung-Jae,6621,KOR,1:37.539,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,1,3,2,,,PieterGYSEL,6425,BEL,1:37.709,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,1,4,3,,,MarkJACKSON,6941,NZL,1:38.477,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,2,1,2,,,StevenBRADBURY,6430,AUS,1:31.014,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,2,2,4,,,EricBEDARD,6703,CAN,1:31.115,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,2,3,3,,,LUYan,6894,CHN,1:31.268,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,2,4,1,,,KamilHANZELY,6033,SVK,1:32.952,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,3,1,3,,,ANJung-Hyun,6617,KOR,1:34.484,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,3,2,1,,,BalazsKNOCH,6341,HUN,1:34.579,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,3,3,2,,,GisleTVERLAND,7063,NOR,1:34.673,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,3,4,4,,,RichardGOERLITZ,6063,AUS,1:34.850,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,4,1,2,,,NickyGOOCH,6640,GBR,1:30.820,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,4,2,3,,,FabioCARTA,6001,ITA,1:31.114,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,4,3,4,,,GregoryDURAND,6646,FRA,1:31.792,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,4,DQ,1,,,TomO'HARE,6500,USA,DQ,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,5,1,1,,,ArianNACHBAR,6637,GER,1:33.066,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,5,2,3,,,BrunoLOSCOS,6643,FRA,1:33.591,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,5,3,4,,,KirilPANDOV,6779,BUL,1:35.990,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,5,DQ,2,,,ANYulong,6656,CHN,DQ,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,6,1,2,,,DaveVERSTEEG,6540,NED,1:34.367,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,6,2,3,,,NicolaFRANCESCHINA,6331,ITA,1:34.560,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,6,3,1,,,DaveALLARDICE,6642,GBR,1:34.822,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,6,4,4,,,MarcGAGNON,6701,CAN,1:53.681,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,7,1,1,,,CeesJUFFERMANS,6072,NED,1:34.753,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,7,2,4,,,MINRyoung,6619,KOR,1:34.856,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,7,3,2,,,AndreKRAUSPE,6746,GER,1:36.155,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,7,DQ,3,,,MartinJOHANSSON,6509,SWE,DQ,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,8,1,1,,,Francois-LouisTREMBLAY,6704,CAN,1:35.325,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,8,2,3,,,MaurizioCARNINO,6333,ITA,1:35.406,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,8,3,2,,,JeroenHUISKAMP,6542,NED,1:36.102,
2000-2001,2001 World Cup - Trnava,1000M,m,Heats,8,DQ,4,,,WardJANSSENS,6426,BEL,DQ,
