season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,1,1,1,,65,LEESeung-Jae,6621,KOR,1:30.790,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,1,2,4,,17,Jean-FrancoisMONETTE,7096,CAN,1:30.849,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,1,3,2,,45,NicolaRODIGARI,6332,ITA,1:30.965,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,1,4,3,,74,DmitryVASILENKO,6713,RUS,1:31.045,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,2,1,3,,20,LIJiajun,7095,CHN,1:30.227,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,2,2,2,,42,FabioCARTA,6001,ITA,1:30.715,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,2,3,1,,27,GregoryDURAND,6646,FRA,1:31.066,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,2,4,4,,83,DerekGRAY,7050,USA,1:32.256,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,3,1,4,,69,AHNHyun-Soo,6618,KOR,1:34.893,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,3,2,1,,19,MathieuTURCOTTE,6705,CAN,1:34.900,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,3,3,3,,43,NicolaFRANCESCHINA,6331,ITA,1:34.990,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,3,4,2,,46,TakafumiNISHITANI,6323,JPN,1:35.255,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,4,2,1,,66,OHSe-Jong,6620,KOR,1:33.422,Q
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,4,3,2,,47,SatoruTERAO,6320,JPN,1:33.757,
2002-2003,2002 World Cup 3   Russia,1000M,m,QuarterFinals,4,4,3,,21,GUOWei,6654,CHN,1:33.839,
