season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,1,1,3,,9,JonathanGUILMETTE,6702,CAN,42.139,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,1,2,2,,13,LIJiajun,7095,CHN,42.301,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,1,3,4,,3,AlexMcEWAN,6428,AUS,42.423,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,1,4,1,,84,TomIVESON,6898,GBR,42.804,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,2,1,3,,14,LIYe,6655,CHN,42.123,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,2,2,1,,52,AHNHyun-Soo,6618,KOR,42.190,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,2,3,2,,43,NicolaRODIGARI,6332,ITA,42.266,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,2,4,4,,67,DmitryVASILENKO,6713,RUS,42.848,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,3,1,3,,8,Jean-FrancoisMONETTE,7096,CAN,41.551,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,3,3,4,,79,ApoloAntonOHNO,6497,USA,41.900,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,3,4,2,,20,JeanCharlesMATTEI,6057,FRA,42.496,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,4,1,1,,10,JeffSCHOLTEN,6604,CAN,42.054,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,4,2,4,,51,SONGSuk-Woo,7086,KOR,42.316,Q
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,4,3,3,,35,JonELEY,6592,GBR,42.552,
2003-2004,"2003 World Cup 1, Canada",500M,m,QuarterFinals,4,4,2,,44,MaurizioCARNINO,6333,ITA,43.357,
