season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,1,1,1,,18,LIHaonan,6658,CHN,1:29.415,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,1,2,3,,78,YevgenYAKOVLEV,6751,UKR,1:31.973,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,1,3,2,,10,SteveROBILLARD,6494,CAN,1:45.587,ADV
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,1,DQ,4,,48,SatoruTERAO,6320,JPN,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,2,1,4,,82,RustySMITH,6496,USA,1:28.132,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,2,2,2,,2,MarkMcNEE,6432,AUS,1:28.343,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,2,3,5,,80,VolodymyrCHERNEGA,6041,UKR,1:29.877,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,2,4,1,,72,MikhailRAJINE,6569,RUS,1:30.548,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,2,DQ,3,,53,Robbert-KeesBOER,6456,NED,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,3,2,2,,26,ThibautFAUCONNET,6785,FRA,1:29.589,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,3,3,4,,69,AlexanderGERTSIKOV,6570,RUS,1:29.716,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,3,4,3,,38,AdamKOVACS,6337,HUN,1:30.537,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,4,1,3,,12,HAMELINCharles,6610,CAN,1:29.538,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,4,2,2,,15,LIJiajun,7095,CHN,1:29.732,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,4,3,1,,6,AndrePULEC,6054,AUT,1:31.077,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,4,4,4,,75,TomasGRESCHNER,6633,SVK,1:55.096,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,5,1,1,,68,SergeyPRANKEVICH,7048,RUS,1:28.408,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,5,2,3,,30,ThomasBAUER,7092,GER,1:29.437,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,5,3,2,,23,JeanCharlesMATTEI,6057,FRA,1:57.515,ADV
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,5,DQ,4,,46,TakafumiNISHITANI,6323,JPN,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,6,1,4,,67,SONGSuk-Woo,7086,KOR,1:28.922,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,6,2,1,,29,SebastianPRAUS,6364,GER,1:29.130,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,6,3,2,,22,JarmilHRUZA,6503,CZE,1:29.224,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,6,4,3,,34,PaulWORTH,6802,GBR,1:32.057,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,7,1,2,,64,KIMHyun-Kon,7101,KOR,1:28.481,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,7,2,1,,41,FabioCARTA,6001,ITA,1:28.921,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,7,3,4,,8,ThomasdeWITTE,6784,BEL,1:32.461,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,7,DQ,3,,11,MathieuTURCOTTE,6705,CAN,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,8,1,1,,24,GuillaumeMATHIEU,6871,FRA,1:30.142,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,8,2,4,,9,PieterGYSEL,6425,BEL,1:30.159,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,8,3,2,,83,JPKEPKA,6501,USA,1:31.486,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,8,DQ,3,,33,TomIVESON,6898,GBR,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,9,1,3,,16,LIYe,6655,CHN,1:29.600,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,9,2,4,,65,SEOHo-Jin,6547,KOR,1:29.659,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,9,3,2,,51,CeesJUFFERMANS,6072,NED,1:29.697,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,9,4,1,,27,ArianNACHBAR,6637,GER,1:29.804,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,10,1,4,,43,NicolaRODIGARI,6332,ITA,1:30.939,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,10,2,1,,74,MatusUZAK,6510,SVK,1:31.423,Q
