season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,1,1,1,,1021,FRANCE,7354,FRA,4:28.236,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,1,2,2,,1025,NETHERLANDS,7322,NED,4:32.213,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,1,3,3,,1027,RUSSIA,7315,RUS,4:39.602,
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,1,DQ,4,,1024,JAPAN,7310,JPN,DQ,
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,2,1,3,,1019,CANADA,7312,CAN,4:23.741,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,2,2,2,,1022,GERMANY,7313,GER,4:24.035,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,2,3,4,,1023,ITALY,7317,ITA,4:24.068,q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,2,4,1,,1018,BULGARIA,7335,BUL,4:30.867,
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,3,1,1,,1020,CHINA,7311,CHN,4:25.334,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,3,2,2,,1026,KOREA,7314,KOR,4:25.646,Q
2004-2005,"2005 World Cup 6, Slovakia",3000MRelay,w,Heats,3,3,3,,1028,UNITEDSTATES,7316,USA,4:26.733,q
