season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,1,1,1,,119,LIJiajun,7095,CHN,1:30.874,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,1,2,4,,158,LEEHo-Suk,6856,KOR,1:31.071,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,1,3,3,,186,JPKEPKA,6501,USA,1:31.896,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,1,4,2,,152,YugoSHINOHARA,6325,JPN,1:32.002,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,2,1,1,,154,OHSe-Jong,6620,KOR,1:37.024,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,2,2,4,,125,JeanCharlesMATTEI,6057,FRA,1:37.321,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,2,3,3,,108,DriesCELIS,6113,BEL,1:37.717,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,2,4,2,,166,MarkJACKSON,6941,NZL,1:37.866,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,3,1,3,,115,MathieuTURCOTTE,6705,CAN,1:31.904,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,3,2,2,,161,CeesJUFFERMANS,6072,NED,1:32.210,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,3,3,4,,140,PeterDARAZS,6465,HUN,1:33.242,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,3,DQ,1,,126,ThibautFAUCONNET,6785,FRA,DQ,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,4,1,4,,120,LIYe,6655,CHN,1:29.890,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,4,2,2,,146,CONFORTOLAYuri,6561,ITA,1:30.063,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,4,3,3,,135,OliverHORSEPOOL,6276,GBR,1:30.395,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,4,4,1,,173,AlexanderGERTSIKOV,6570,RUS,1:30.564,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,5,1,3,,116,EricBEDARD,6703,CAN,1:31.567,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,5,2,4,,148,RobertoSERRA,6463,ITA,1:31.649,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,5,3,1,,141,ViktorKNOCH,6177,HUN,1:32.181,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,5,4,2,,100,MarkMcNEE,6432,AUS,1:33.720,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,6,1,2,,157,AHNHyun-Soo,6618,KOR,1:30.374,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,6,2,3,,187,RustySMITH,6496,USA,1:30.568,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,6,3,1,,123,WANGBaojian,6740,CHN,2:08.168,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,6,DQ,4,,150,TakahiroFUJIMOTO,6277,JPN,DQ,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,7,1,1,,114,Francois-LouisTREMBLAY,6704,CAN,1:33.808,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,7,2,2,,145,FabioCARTA,6001,ITA,1:33.999,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,7,3,3,,106,WimdeDEYNE,6699,BEL,1:34.132,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,7,4,4,,131,SebastianPRAUS,6364,GER,1:34.252,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,8,2,2,,149,SatoruTERAO,6320,JPN,1:32.437,Q
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,8,3,4,,130,TysonHEUNG,6240,GER,1:32.770,
2005-2006,"2005 World Cup 2, Korea",1000M,m,Heats,8,4,1,,105,PieterGYSEL,6425,BEL,1:33.270,
