season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,1,1,2,,179,TravisJAYNER,6300,USA,1:31.492,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,1,2,3,,102,BenSOUTHEE,6203,AUS,1:31.756,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,1,3,4,,154,BlakeSKJELLERUP,6549,NZL,1:34.621,q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,1,DQ,1,,167,NielsKERSTHOLT,7067,NED,DQ,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,2,1,1,,103,ElliottSHRIANE,6846,AUS,1:35.261,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,2,2,4,,127,RobertBECKER,7258,GER,1:35.689,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,2,DQ,2,,162,VitalyMIKHEENKOV,6234,RUS,DQ,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,2,DQ,3,,163,FreekvanderWART,7269,NED,DQ,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,3,1,2,,176,JPKEPKA,6501,USA,1:33.836,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,3,2,1,,135,ViktorKNOCH,6177,HUN,1:33.935,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,3,3,3,,132,PaulSTANLEY,7054,GBR,1:34.083,q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1000m,m,RepQuarterFinals,3,DQ,4,,111,AssenPANDOV,6778,BUL,DQ,
