season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,1,1,1,,32,TinaGRASSOW,6855,GER,46.616,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,1,2,2,,61,ZHALYALETDINOVAKarina,7248,RUS,47.329,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,1,3,3,,43,OGUCHIEri,7298,JPN,47.890,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,2,1,1,,44,SatomiSAKAI,6867,JPN,47.499,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,2,2,3,,70,SarahLANG,6527,USA,47.567,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,2,3,2,,57,AidaPOPIOLEK,6683,POL,48.361,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,3,1,1,,39,MaraZINI,6326,ITA,46.562,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,3,2,3,,1,EmilyROSEMOND,6736,AUS,46.617,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,3,3,2,,52,EvitaKRIEVANE,6833,LAT,46.627,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,3,4,4,,63,OlgaMASKAIKINA,6685,RUS,46.861,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,4,1,3,,28,WALTERBianca,7232,GER,48.927,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,4,2,2,,69,LezleighJAWORSKI,6842,USA,49.983,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m(1),w,RepQuarterFinals,4,DQ,1,,5,GerganaPATSOVA,6794,BUL,DQ,
