season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,1,1,2,,110,MathieuGIROUX,6852,CAN,1:29.837,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,1,2,1,,103,LachlanHAY,6845,AUS,1:30.077,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,1,3,3,,124,RobertBECKER,7258,GER,1:30.492,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,1,4,4,,156,MatusUZAK,6510,SVK,2:10.023,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,2,1,1,,158,TomasGRESCHNER,6633,SVK,1:30.438,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,2,2,2,,167,AndriyKOZHUKH,6133,UKR,1:32.738,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,2,3,3,,141,NielsKERSTHOLT,7067,NED,2:01.296,ADV
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,2,DQ,4,,151,ViacheslavKURGINIAN,6934,RUS,DQ,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,3,1,1,,126,CONFORTOLAYuri,6561,ITA,1:34.389,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,3,2,2,,123,PaulHERRMANN,6803,GER,1:34.698,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,3,3,4,,101,JeremyBECK,7283,AUS,1:35.045,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,3,DQ,3,,152,SemenELISTRATOV,7293,RUS,DQ,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,4,1,1,,106,PieterGYSEL,6425,BEL,1:32.764,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,4,2,4,,144,ZbigniewBRODKA,6096,POL,1:33.121,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,4,3,3,,154,RuslanZAKHAROV,6935,RUS,1:33.155,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",1000m(2),m,RepQuarterFinals,4,4,2,,142,MatthewFULLER,6448,NZL,1:34.856,
