season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,1,1,1,,80,FrancoisHAMELIN,6167,CAN,41.833,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,1,2,2,,104,TakahiroFUJIMOTO,6277,JPN,42.396,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,1,3,4,,93,JonELEY,6592,GBR,44.019,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,1,4,3,,112,LEESeung-Hoon,6185,KOR,1:09.379,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,2,2,1,,121,JakubJAWORSKI,6816,POL,43.865,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,2,3,3,,75,AliaksandrANTANENKA,6850,BLR,44.189,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,2,4,4,,131,HOHao-Hsiang,7490,TPE,46.605,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,3,1,2,,110,SONGKyung-Taek,6574,KOR,42.752,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,3,2,1,,89,MaximeCHATAIGNIER,6106,FRA,42.811,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,3,3,3,,124,ViacheslavKURGINIAN,6934,RUS,42.837,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,3,4,4,,90,TysonHEUNG,6240,GER,43.068,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,4,1,2,,99,CONFORTOLAYuri,6561,ITA,43.350,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,4,2,3,,119,BlakeSKJELLERUP,6549,NZL,43.839,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,4,3,1,,115,HaraldsSILOVS,6458,LAT,43.978,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,4,4,4,,128,PeterJELEN,7077,SVK,44.540,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,5,1,1,,100,NicolaRODIGARI,6332,ITA,42.720,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,5,2,3,,97,PeterDARAZS,6465,HUN,43.266,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,5,3,2,,132,SerhiyLIFYRENKO,6826,UKR,44.337,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,5,4,4,,118,MatthewFULLER,6448,NZL,45.878,,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,6,1,2,,111,LEEHo-Suk,6856,KOR,42.038,Q,
2007-2008,"2008 ISU World Championships, Korea",500m,m,Preliminaries,6,2,4,,136,JeffSIMON,7280,USA,42.284,Q,
