season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,1,1,1,,64,SHINSae-Bom,7162,KOR,1:33.299,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,1,2,2,,17,FUTianYu,6650,CHN,1:33.866,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,1,3,3,,10,JessicaGREGG,6141,CAN,1:33.988,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,1,4,5,,53,PatrycjaMALISZEWSKA,6154,POL,1:34.569,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,1,5,4,,77,LanaGEHRING,7254,USA,1:36.427,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,2,1,1,,14,KalynaROBERGE,6284,CAN,1:41.666,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,2,2,3,,7,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,1:41.917,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,2,3,2,,68,ValeriyaREZNIK,6573,RUS,1:42.291,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,2,4,4,,55,AnnaROMANOWICZ,6027,POL,1:42.458,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,3,1,2,,63,PARKSeung-Hi,7164,KOR,1:45.469,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,3,2,1,,5,EvgeniaRADANOVA,6775,BUL,1:45.978,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,3,3,3,,29,PIERRONVeronique,6196,FRA,1:46.293,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,3,4,4,,12,AnneMALTAIS,6355,CAN,1:46.350,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,4,1,2,,35,TinaGRASSOW,6855,GER,1:34.764,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,4,2,1,,76,KimberlyDERRICK,6246,USA,1:34.898,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,4,3,3,,37,CHRISTIEElise,7135,GBR,1:35.390,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,4,4,4,,20,ZHAONannan,7150,CHN,2:03.168,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,5,1,2,,16,WANGMeng,6594,CHN,1:36.760,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,5,2,4,,33,SusanneRUDOLPH,6362,GER,1:37.509,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,5,3,1,,42,AyukoITO,6791,JPN,1:37.569,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1000m(1),w,Heats,5,4,3,,69,EkaterinaBELOVA,6190,RUS,1:37.589,
