season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,1,1,3,,51,CHOHa-Ri,7028,KOR,1:38.148,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,1,2,1,,64,EvgeniaRADANOVA,6775,BUL,1:38.872,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,1,3,2,,3,AnneMALTAIS,6355,CAN,1:38.907,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,1,4,4,,25,AriannaFONTANA,6227,ITA,1:40.004,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,2,1,3,,49,PARKSeung-Hi,7164,KOR,1:36.813,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,2,2,2,,10,LIUQiuhong,6286,CHN,1:38.037,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,2,3,4,,18,ChristinPRIEBST,6078,GER,1:39.205,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,2,DNS,1,,5,KalynaROBERGE,6284,CAN,DNS,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,3,2,2,,2,JessicaGREGG,6141,CAN,1:38.210,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,3,3,4,,59,LanaGEHRING,7254,USA,1:38.759,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,3,4,3,,34,YuiSAKAI,6229,JPN,1:38.771,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,4,1,1,,50,SHINSae-Bom,7162,KOR,1:33.659,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,4,2,3,,12,ZHAONannan,7150,CHN,1:34.052,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,4,3,4,,65,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,1:34.455,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),w,Quarterfinals,4,4,2,,31,AyukoITO,6791,JPN,1:35.011,
