season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,1,1,1,,46,JINSun-Yu,6108,KOR,1:35.503,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,1,2,3,,11,MENGXiaoxue,7185,CHN,1:35.838,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,1,3,4,,43,AnoukZOUTENDIJK,6147,NED,1:40.249,q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,1,4,2,,62,KatherineREUTTER-ADAMEK,7255,USA,2:04.745,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,2,1,2,,15,CelineLECOMPERE,6556,FRA,1:37.586,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,2,2,1,,18,ChristinPRIEBST,6078,GER,1:38.403,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,2,3,3,,40,AnnitavanDOORN,6440,NED,2:09.430,ADV
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,2,DQ,4,,32,MikaOZAWA,6318,JPN,DQ,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,3,1,4,,10,LIUQiuhong,6286,CHN,1:41.442,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,3,2,2,,60,MaryGRACE,7187,USA,1:41.850,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,3,3,3,,28,KatiaZINI,6076,ITA,1:41.931,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,3,4,1,,44,KarolinaREGUCKA,6914,POL,1:42.326,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,4,1,4,,47,YANGShin-Young,7163,KOR,1:34.364,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,4,2,3,,9,ZHOUYang,6222,CHN,1:34.847,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,4,3,2,,63,KimberlyDERRICK,6246,USA,1:35.555,q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,4,4,1,,23,ElenaKAPLAN,7236,ISR,1:44.291,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,5,1,3,,64,EvgeniaRADANOVA,6775,BUL,1:40.771,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,5,2,1,,6,TaniaVICENT,6662,CAN,1:41.498,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,5,3,2,,26,CeciliaMAFFEI,6559,ITA,1:41.595,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,5,4,4,,38,DariyaVOLOKITINA,7344,KAZ,1:43.621,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,6,1,2,,14,StephanieBOUVIER,6709,FRA,1:39.050,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,6,2,4,,4,AmandaOVERLAND,7079,CAN,1:39.148,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,6,3,1,,17,AikaKLEIN,6359,GER,1:40.570,q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,6,4,3,,58,LiaSTEPANOVA,6150,RUS,1:42.171,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,7,1,4,,24,MartaCAPURSO,6328,ITA,1:39.935,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,7,2,1,,19,JuliaRIEDEL,6287,GER,1:40.723,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,7,3,2,,33,MaiSHINKAI,7342,JPN,1:40.835,q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,7,4,3,,54,OlgaBELYAKOVA,7112,RUS,1:40.948,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,8,1,2,,48,JUNGEun-Ju,6297,KOR,1:39.728,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,8,2,4,,65,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,1:40.192,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),w,Preliminaries,8,3,3,,1,AndreaDO-DUC,6215,CAN,1:40.350,q
