season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,1,1,2,,71,KimberlyDERRICK,6246,USA,1:33.487,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,1,2,4,,22,PIERRONVeronique,6196,FRA,1:33.790,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,1,3,3,,37,CeciliaMAFFEI,6559,ITA,1:34.563,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,1,4,1,,10,ValerieLAMBERT,7132,CAN,1:34.847,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,2,1,4,,74,KatherineREUTTER-ADAMEK,7255,USA,1:33.158,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,2,2,1,,43,AyukoITO,6791,JPN,1:33.264,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,2,3,5,,18,ZHANGHui,7550,CHN,1:33.596,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,2,4,3,,31,RozsaDARAZS,6797,HUN,1:33.647,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,2,5,2,,26,AikaKLEIN,6359,GER,2:01.647,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,3,1,1,,49,JUNGEun-Ju,6297,KOR,1:33.983,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,3,2,2,,27,ChristinPRIEBST,6078,GER,1:34.080,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,3,3,4,,11,AnneMALTAIS,6355,CAN,1:34.199,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,3,4,3,,67,OlgaMASKAIKINA,6685,RUS,1:35.497,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,4,1,4,,52,SHINSae-Bom,7162,KOR,1:34.136,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,4,2,2,,75,JessicaKOOREMAN,7649,USA,1:34.187,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,4,3,1,,33,BernadettHEIDUM,6798,HUN,1:34.300,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,4,4,5,,20,KaterinaNOVOTNA,6647,CZE,1:34.441,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,w,Quarterfinals,4,5,3,,66,NinaEVTEEVA,6511,RUS,2:05.676,
