season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,1,2,5,,122,SONGWeilong,7156,CHN,2:25.579,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,1,3,6,,212,JordanMALONE,6201,USA,2:25.654,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,1,4,3,,148,PeterDARAZS,6465,HUN,2:26.171,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,1,5,4,,102,LachlanHAY,6845,AUS,2:27.738,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,1,DNS,2,,108,WimdeDEYNE,6699,BEL,DNS,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2,1,1,,175,LEEJungSu,7266,KOR,2:16.546,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2,2,5,,115,HAMELINCharles,6610,CAN,2:16.680,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2,3,4,,164,FumihikoKAKUBARI,6024,JPN,2:16.724,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2,4,3,,181,NielsKERSTHOLT,7067,NED,2:16.947,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2,5,2,,123,LIUXianwei,6307,CHN,2:40.567,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,1,1,,214,ApoloAntonOHNO,6497,USA,2:21.299,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,2,5,,117,OlivierJEAN,6756,CAN,2:21.449,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,3,6,,179,HaraldsSILOVS,6458,LAT,2:21.464,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,4,4,,155,NicolasBEAN,7541,ITA,2:21.579,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,5,2,,142,SebastianPRAUS,6364,GER,2:22.029,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,3,6,3,,198,RuslanZAKHAROV,6935,RUS,2:22.060,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,1,2,,211,JeffSIMON,7280,USA,2:18.572,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,2,1,,176,KIMSeoungIl,7686,KOR,2:18.635,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,3,3,,119,GuillaumeBASTILLE,6166,CAN,2:18.867,Q
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,4,6,,141,PaulHERRMANN,6803,GER,2:18.989,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,5,5,,162,JumpeiYOSHIZAWA,6577,JPN,2:19.086,
2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,4,6,4,,103,ElliottSHRIANE,6846,AUS,2:20.963,
