season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,1,1,1,,196,NETHERLANDS,7321,NED,6:58.650,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,1,2,3,,194,HUNGARY,7324,HUN,7:05.322,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,1,3,2,,190,BULGARIA,7392,BUL,7:13.535,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,2,1,3,,195,ITALY,7301,ITA,7:06.023,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,2,2,2,,200,UKRAINE,7308,UKR,7:10.575,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,2,PEN,1,,197,POLAND,7326,POL,PEN,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,3,1,2,,191,FRANCE,7319,FRA,7:06.017,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,3,2,1,,192,GERMANY,7302,GER,7:07.242,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,3,3,3,,189,BELGIUM,7897,BEL,7:20.790,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,3,4,4,,188,BELARUS,7399,BLR,7:24.613,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,4,1,1,,193,GREATBRITAIN,7320,GBR,6:57.427,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,4,2,3,,198,RUSSIA,7307,RUS,6:57.882,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",5000mRelay,m,Heats,4,DNF,2,,199,TURKEY,7789,TUR,DNF,,
