season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,1,1,1,,166,SergeyPRANKEVICH,7048,RUS,43.184,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,1,2,2,,156,AdamFILIPOWICZ,6156,POL,43.229,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,1,3,3,,144,FedorANDREYEV,7745,KAZ,44.135,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,1,4,4,,103,RonaldCALDECUTT,7589,AUS,44.818,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,2,1,2,,148,NielsKERSTHOLT,7067,NED,43.442,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,2,2,3,,155,JakubJAWORSKI,6816,POL,43.490,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,2,3,4,,173,MyukerremTOP,7786,TUR,45.515,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,2,DNS,1,,126,LEPAPESebastien,7554,FRA,DNS,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,3,1,2,,161,KIMCheolMin,7836,KOR,43.175,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,3,2,3,,106,KirilPANDOV,6779,BUL,43.354,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,3,3,4,,143,AZHGALIYEVAbzal,7685,KAZ,43.633,q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,3,4,1,,178,OleksiyKOSHELENKO,7121,UKR,1:04.489,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,4,1,2,,136,DaisukeUEMURA,6118,JPN,43.146,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,4,2,1,,169,VladimirGRIGOREV,7826,RUS,43.236,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,4,3,3,,145,DanabekKHAIROV,7628,KAZ,43.364,q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,4,DNS,4,,109,AsenYORDANOV,6851,BUL,DNS,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,5,1,2,,130,TorstenKROEGER,7141,GER,43.051,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,5,2,1,,107,AssenPANDOV,6778,BUL,43.223,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,5,3,3,,177,SerhiyLIFYRENKO,6826,UKR,43.318,q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,5,4,4,,102,PierreBODA,7588,AUS,43.429,
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,6,1,1,,185,RyanBEDFORD,6956,USA,42.946,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,6,2,3,,125,JeremyMASSON,6173,FRA,43.437,Q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,6,3,2,,127,RobertBECKER,7258,GER,43.459,q
2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",500m(2),m,RepHeats,6,4,4,,172,SerdarILTIR,7787,TUR,47.319,
