season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,1,1,1,,17,LIUQiuhong,6286,CHN,1:36.818,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,1,2,3,,24,WALTERBianca,7232,GER,1:37.302,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,1,3,2,,54,JessicaAUSMA,7553,NED,1:38.417,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,2,1,2,,15,CarolineTRUCHON,7908,CAN,1:33.191,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,2,2,4,,41,AyukoITO,6791,JPN,1:33.427,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,2,3,1,,59,LiaSTEPANOVA,6150,RUS,1:33.835,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,2,4,3,,64,OlenaKORINCHUK,7252,UKR,1:38.732,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,3,1,4,,40,YuiSAKAI,6229,JPN,1:34.814,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,3,2,3,,29,AlexSTANLEY,7140,GBR,1:34.909,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,3,3,2,,60,NataliaPLUGINA,7345,RUS,1:35.094,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,3,4,1,,52,SannevanKERKHOF,6835,NED,1:35.134,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,4,1,3,,48,YANGShin-Young,7163,KOR,1:34.934,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,4,2,2,,7,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,1:35.132,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,4,3,4,,33,AndreaKESZLER,7147,HUN,1:35.391,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,4,4,1,,2,VeraANTANENKA,7099,BLR,1:35.528,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,5,1,3,,35,AriannaFONTANA,6227,ITA,1:36.331,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,5,2,4,,43,SayuriSHIMIZU,7544,JPN,1:36.542,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,5,3,2,,34,SzandraLAJTOS,6339,HUN,1:36.609,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,5,4,1,,70,MorganIZYKOWSKI,7720,USA,1:36.709,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,6,1,3,,67,LanaGEHRING,7254,USA,1:35.798,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,6,2,1,,38,VIVIANIElena,7583,ITA,1:36.222,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,6,3,2,,53,vanKERKHOFYara,7422,NED,1:36.356,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,7,1,3,,10,MarianneST-GELAIS,7216,CAN,1:34.735,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,7,2,2,,18,FANKexin,7694,CHN,1:34.856,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,7,3,1,,25,JosephineMESCHNIK,7821,GER,1:36.577,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,8,1,3,,13,JessicaGREGG,6141,CAN,1:37.019,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,8,2,1,,30,ErikaHUSZAR,6373,HUN,1:37.253,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,8,3,4,,3,TALAYEVAVolha,6792,BLR,1:37.929,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,8,4,2,,63,BurcuKAN,7911,TUR,1:51.313,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,9,1,3,,49,HWANGHyunSun,7713,KOR,1:33.150,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,9,2,4,,20,LIJianrou,7910,CHN,1:33.235,Q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,9,3,1,,56,NinaEVTEEVA,6511,RUS,1:33.339,q
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m(1),w,Preliminaries,9,4,2,,8,GerganaPATSOVA,6794,BUL,1:42.614,
