season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,1,1,5,,114,GONGQiuwen,7593,CHN,1:29.786,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,1,3,3,,127,RichardSHOEBRIDGE,7825,GBR,1:30.077,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,1,4,4,,132,ViktorKNOCH,6177,HUN,1:30.097,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,1,5,2,,159,SemenELISTRATOV,7293,RUS,1:30.156,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,2,1,1,,121,ThibautFAUCONNET,6785,FRA,1:26.889,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,2,2,3,,115,CHENDequan,7918,CHN,1:26.955,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,2,3,2,,144,KNEGTSjinkie,7352,NED,1:27.019,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,2,4,4,,153,SINdaWoon,8035,KOR,1:27.238,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,3,1,2,,108,HAMELINCharles,6610,CAN,1:29.001,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,3,2,1,,139,DaisukeUEMURA,6118,JPN,1:29.576,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,3,3,3,,145,NielsKERSTHOLT,7067,NED,1:40.347,ADV,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,3,PEN,4,,157,VladimirGRIGOREV,7826,RUS,PEN,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,4,1,2,,151,NOHJinkyu,7749,KOR,1:26.050,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,4,2,3,,112,GuillaumeBASTILLE,6166,CAN,1:26.422,Q,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,4,3,4,,126,JackWHELBOURNE,7437,GBR,1:26.558,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,4,4,1,,169,SimonCHO,7188,USA,1:26.794,,
2011-2012,"2012 ISU World Championships, CHN, Shanghai",1000m,m,Quarterfinals,4,5,5,,102,LachlanHAY,6845,AUS,1:27.646,,
