season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,1,1,1,,434,RobertSEIFERT,6176,GER,42.119,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,1,2,3,,479,VladimirGRIGOREV,7826,RUS,42.237,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,1,3,2,,439,JackWHELBOURNE,7437,GBR,42.610,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,1,4,4,,423,BLACKBURNMackenzie,7434,TPE,42.765,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,2,1,1,,476,BartoszKONOPKO,7169,POL,42.613,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,2,2,3,,490,KyleUYEHARA,7453,USA,42.627,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,2,3,4,,412,MichaelGILDAY,6195,CAN,42.665,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,2,PEN,2,,464,LEEJungSu,7266,KOR,PEN,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,3,1,1,,414,HAMELINCharles,6610,CAN,41.442,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,3,2,3,YC,418,LIANGWenhao,7594,CHN,41.844,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,3,3,2,,435,JonELEY,6592,GBR,41.893,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,3,4,4,,487,JonathanGARCIA,7904,USA,42.312,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,3,5,5,,440,BenceBERES,7438,HUN,1:11.086,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,4,1,3,,463,LEEHo-Suk,6856,KOR,42.719,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,4,2,2,,413,GuillaumeBASTILLE,6166,CAN,42.985,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,4,3,4,,426,LEPAPESebastien,7554,FRA,notime,ADV
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,4,PEN,1,,417,GONGQiuwen,7593,CHN,PEN,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,5,1,2,YC,480,EvgeniiKOZULIN,7272,RUS,42.694,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,5,2,4,,428,AlexisYANG,7921,FRA,42.945,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,5,3,1,,488,John-HenryKRUEGER,7763,USA,45.933,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",500m,m,Heats,5,PEN,3,,421,YANGJin,7650,CHN,PEN,
