season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,1,1,4,,175,VladimirGRIGOREV,7826,RUS,40.344WR,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,1,2,2,,100,FrancoisHAMELIN,6167,CAN,40.443,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,1,3,1,,138,AnthonyLOBELLO,8441,ITA,42.024,q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,1,4,5,,182,MyukerremTOP,7786,TUR,44.081,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,1,PEN,3,,92,RonaldCALDECUTT,7589,AUS,PEN,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,2,1,2,,190,J.R.CELSKI,7279,USA,40.502,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,2,2,3,,180,BLACKBURNMackenzie,7434,TPE,41.714,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,2,3,5,,149,AydarBEKZHANOV,7623,KAZ,41.780,q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,2,4,4,,183,ValentynDANILOVSKYI,7895,UKR,42.857,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,2,PEN,1,,120,PaulSTANLEY,7054,GBR,PEN,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,3,1,1,,106,LIANGWenhao,7594,CHN,41.520,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,3,2,5,,141,TakayukiMURATAKE,7442,JPN,42.069,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,3,3,3,,168,AdamFILIPOWICZ,6156,POL,43.057,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,3,4,4,,184,ViktorKOROLOV,7177,UKR,43.567,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,3,5,2,,160,SAULITISJekabs,7267,LAT,44.283,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,4,1,3,,101,OlivierJEAN,6756,CAN,41.093,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,4,2,1,,146,WATANABEKeita,7605,JPN,42.653,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,4,3,2,,114,VincentJEANNE,7890,FRA,42.954,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,4,4,4,,129,CsabaBURJAN,7738,HUN,43.418,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,4,5,5,,140,DavideVISCARDI,7440,ITA,44.030,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",500m,m,Preliminaries,5,1,2,,193,John-HenryKRUEGER,7763,USA,41.338,Q
