season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,1,2,2,,409,JAPAN,7310,JPN,6:50.446,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,1,3,3,,401,BULGARIA,7392,BUL,7:11.387,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,1,PEN,1,,408,ITALY,7301,ITA,PEN,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,2,1,1,,412,NETHERLANDS,7321,NED,6:51.601,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,2,2,2,,406,GREATBRITAIN,7320,GBR,6:52.379,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,2,3,3,,410,KAZAKHSTAN,7356,KAZ,6:58.623,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,2,4,4,,415,UKRAINE,7308,UKR,7:14.726,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,3,1,2,,402,CANADA,7309,CAN,6:49.240,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,3,2,1,,405,GERMANY,7302,GER,6:51.924,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,3,3,3,,416,UNITEDSTATES,7306,USA,6:54.527,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,3,4,4,,414,TURKEY,7789,TUR,7:23.542,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,4,1,3,,413,RUSSIA,7307,RUS,7:05.155,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,4,2,4,,403,CHINA,7303,CHN,7:05.969,Q
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,4,3,2,,404,FRANCE,7319,FRA,7:06.722,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",5000mRelay,m,Heats,4,4,1,,407,HUNGARY,7324,HUN,7:09.269,
