season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,1,1,3,,168,NielsKERSTHOLT,7067,NED,1:29.337,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,1,2,4,,154,DaisukeUEMURA,6118,JPN,1:29.403,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,1,3,2,,194,DmytroPOLTAVETS,7221,UKR,1:42.180,ADV
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,1,4,1,,104,JUNGHyunWoo(Andy),8575,AUS,2:11.536,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,2,1,2,,201,J.R.CELSKI,7279,USA,1:32.797,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,2,2,4,,128,RichardSHOEBRIDGE,7825,GBR,1:32.962,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,2,3,1,,161,AslanDAUMOV,6119,KAZ,1:34.035,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,2,4,3,,133,DanielZETZSCHE,7436,GER,1:34.148,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,3,1,4,,157,YuzoTAKAMIDO,7158,JPN,1:33.433,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,3,2,1,,142,ViktorKNOCH,6177,HUN,1:33.489,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,3,3,2,,167,RobertoPUKITIS,7785,LAT,1:33.581,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,3,4,3,,106,MaksimSIARHEYU,7771,BLR,1:34.436,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,4,1,4,,179,LEEHan-Bin,7444,KOR,1:28.863,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,4,2,1,,129,PaulSTANLEY,7054,GBR,1:29.368,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,4,3,3,,102,ArmstrongLAZENBY,7968,AUS,1:30.046,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,4,4,2,,147,KirathSINGH,7602,IND,1:34.218,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,5,1,3,,110,CharleCOURNOYER,8063,CAN,1:28.337,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,5,2,4,,149,DOTTITommaso,7604,ITA,1:28.977,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,5,3,1,,121,VojtechLOUDIN,7597,CZE,1:30.296,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,5,4,2,,175,EmilIMRE,7943,ROU,1:32.117,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,6,1,4,,185,VladimirGRIGOREV,7826,RUS,1:27.768,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,6,2,2,,140,LUIPanToBarton,7551,HKG,1:28.268,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,6,3,1,,100,PierreBODA,7588,AUS,1:28.886,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,6,4,3,,188,LucasNG,8067,SGP,1:36.653,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,7,1,4,,198,ChrisCREVELING,8440,USA,1:30.156,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,7,2,2,,120,WUDajing,7729,CHN,1:30.221,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,7,3,3,,181,SINdaWoon,8035,KOR,1:30.333,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,7,4,1,,160,AZHGALIYEVAbzal,7685,KAZ,1:30.920,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,8,1,2,,172,FreekvanderWART,7269,NED,1:33.034,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,8,2,3,,141,BenceBERES,7438,HUN,1:33.180,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,8,3,1,,192,IevgenGUTENOV,7178,UKR,1:34.242,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,8,4,4,,122,PetrHARGAS,6171,CZE,1:35.206,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,9,1,1,,156,RyosukeSAKAZUME,7542,JPN,1:27.491,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,9,2,4,,183,RuslanZAKHAROV,6935,RUS,1:27.592,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,9,3,3,,148,BYKANOVVladislav,6178,ISR,1:27.666,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,9,4,2,,135,PaulHERRMANN,6803,GER,1:27.761,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Pre-Preliminaries,10,1,1,,174,BlakeSKJELLERUP,6549,NZL,1:31.870,Q
