season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,1,1,3,,184,VictorAN,8344,RUS,1:26.676,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,1,2,1,,113,OlivierJEAN,6756,CAN,1:26.955,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,1,3,2,,154,DaisukeUEMURA,6118,JPN,1:27.553,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,1,4,5,,194,DmytroPOLTAVETS,7221,UKR,1:28.633,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,1,5,4,,190,SelimTANRIKULU,7760,TUR,1:56.145,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,2,1,3,,181,SINdaWoon,8035,KOR,1:27.402,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,2,2,2,,115,HANTianyu,8388,CHN,1:27.456,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,2,3,4,,128,RichardSHOEBRIDGE,7825,GBR,1:28.401,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,2,4,1,,140,LUIPanToBarton,7551,HKG,1:28.431,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,3,1,3,,120,WUDajing,7729,CHN,1:29.318,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,3,2,1,,185,VladimirGRIGOREV,7826,RUS,1:29.435,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,3,3,4,,161,AslanDAUMOV,6119,KAZ,1:32.635,ADV
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,3,PEN,2,,151,CONFORTOLAYuri,6561,ITA,PEN,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,4,1,2,,126,LEPAPESebastien,7554,FRA,1:31.525,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,4,2,1,,197,JordanMALONE,6201,USA,1:32.006,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,4,3,4,,137,RobertSEIFERT,6176,GER,1:32.465,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,4,4,3,,121,VojtechLOUDIN,7597,CZE,1:32.525,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,5,1,1,,111,HAMELINCharles,6610,CAN,1:26.506,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,5,2,3,,157,YuzoTAKAMIDO,7158,JPN,1:27.029,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,5,3,4,,125,MaximeCHATAIGNIER,6106,FRA,1:27.204,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,5,4,2,,102,ArmstrongLAZENBY,7968,AUS,1:29.374,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,6,1,3,,178,PARKSeYeong,7750,KOR,1:29.808,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,6,2,1,,156,RyosukeSAKAZUME,7542,JPN,1:30.138,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,6,3,2,,129,PaulSTANLEY,7054,GBR,1:30.300,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,6,4,4,,192,IevgenGUTENOV,7178,UKR,1:30.415,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,7,1,1,,110,CharleCOURNOYER,8063,CAN,1:28.042,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,7,2,2,,149,DOTTITommaso,7604,ITA,1:28.294,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,7,3,4,,167,RobertoPUKITIS,7785,LAT,1:28.384,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,7,4,3,,119,LIANGWenhao,7594,CHN,1:58.016,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,8,1,2,,179,LEEHan-Bin,7444,KOR,1:28.249,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,m,Preliminaries,8,2,1,,183,RuslanZAKHAROV,6935,RUS,1:28.414,Q
