season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,1,1,3,,913,RUSSIA,7307,RUS,6:45.337,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,1,2,2,,915,UNITEDSTATES,7306,USA,6:45.461,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,1,3,1,,906,GERMANY,7302,GER,6:52.241,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,1,4,4,,901,AUSTRALIA,7305,AUS,6:57.273,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,2,1,3,,912,NETHERLANDS,7321,NED,6:55.518,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,2,2,4,,908,ITALY,7301,ITA,6:59.570,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,2,3,2,,905,GREATBRITAIN,7320,GBR,7:01.901,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,2,4,1,,914,UKRAINE,7308,UKR,7:05.250,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,3,1,1,,903,CHINA,7303,CHN,6:53.415,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,3,2,4,,902,CANADA,7309,CAN,6:53.599,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,3,3,3,,907,HUNGARY,7324,HUN,6:54.948,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,3,4,2,,910,KAZAKHSTAN,7356,KAZ,6:55.162,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,4,1,1,,911,KOREA,7300,KOR,7:01.423,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,4,2,3,,904,FRANCE,7319,FRA,7:01.644,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",5000mRelay,m,Heats,4,3,2,,909,JAPAN,7310,JPN,7:01.658,
