season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,1,1,1,,6,FANKexin,7694,CHN,1:32.927,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,1,2,3,,52,PROSVIRNOVASofia,8509,RUS,1:32.963,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,1,3,2,,31,HitomiSAITO,7576,JPN,1:33.096,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,1,4,4,,34,AnastassiyaKRESTOVA,7981,KAZ,1:33.633,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,2,1,1,,3,KasandraBRADETTE,8058,CAN,1:32.030,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,2,2,3,,10,TAOJiaying,8667,CHN,1:32.065,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,2,3,4,,44,vanKERKHOFYara,7422,NED,1:32.161,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,2,4,5,,50,MALAGICHEmina,7989,RUS,1:32.664,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,2,5,2,,39,KANGJihee,8716,KOR,1:33.397,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,3,1,1,,16,CHRISTIEElise,7135,GBR,1:32.343,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,3,2,2,,41,NOHDoHee,7986,KOR,1:32.430,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,3,3,3,,8,LINYue,8548,CHN,1:32.690,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,3,4,4,,54,ZAKHAROVAEvgeniya,7715,RUS,1:33.133,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,4,2,2,,1,GeneveBELANGER,8359,CAN,1:33.618,Q
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,4,3,1,,27,VIVIANIElena,7583,ITA,1:33.983,
2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1000m(1),w,Quarterfinals,4,4,3,,15,PIERRONVeronique,6196,FRA,1:34.499,
