season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,1,1,4,,422,JeremyMASSON,6173,FRA,1:33.286,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,1,2,1,,483,PIVIROTTORyan,8650,USA,1:46.631,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,1,3,2,,441,DavideVISCARDI,7440,ITA,1:47.466,ADV
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,1,PEN,3,,460,RobertoPUKITIS,7785,LAT,PEN,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,2,1,2,,431,ViktorKNOCH,6177,HUN,1:31.194,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,2,2,1,,442,HironobuMURATAKE,8671,JPN,1:31.260,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,2,3,3,,485,SooAnYOO,8674,USA,1:31.457,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,3,1,4,,417,YUJiyang,8435,CHN,1:28.916,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,3,2,2,,445,SatoshiSAKASHITA,6183,JPN,1:29.138,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,3,3,1,,405,MathiasVOSTE,7888,BEL,1:29.495,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,3,4,3,,439,MassimoGURINI,8617,ITA,1:30.642,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,4,1,4,,409,YoanGAUTHIER,8383,CAN,1:28.216,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,4,2,2,,427,BillySIMMS,7926,GBR,1:29.142,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,4,3,1,,403,JUNGHyunWoo(Andy),8575,AUS,1:29.146,q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,4,4,3,,476,SerdarILTIR,7787,TUR,1:30.253,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,5,1,2,,407,SamuelBELANGER-MARCEAU,8666,CAN,1:29.047,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,5,2,1,,426,RichardSHOEBRIDGE,7825,GBR,1:29.143,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,5,3,3,,448,AZHGALIYEVAbzal,7685,KAZ,1:29.233,q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,5,4,4,,479,NecmettinBerkYETISKEN,8352,TUR,1:31.260,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,6,1,3,,432,ShaolinSandorLIU,7928,HUN,1:30.259,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,6,2,1,,401,PierreBODA,7588,AUS,1:30.492,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,6,3,2,,436,CASSINELLIAndrea,7741,ITA,1:30.865,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,6,DNF,4,,452,ZHAXYBAYEVMersaid,8623,KAZ,DNF,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,7,1,1,,444,KeiSAITO,8068,JPN,1:29.624,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,7,2,3,,418,PaulBEAUCHAMP,8560,FRA,1:30.673,Q
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,7,3,2,,484,JakePOWERS,8675,USA,1:30.786,
2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1000m(1),m,RepHeats,7,4,4,,474,InanEREN,7788,TUR,1:31.118,
