season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,1,1,2,,151,ANKai,9168,CHN,1:26.963,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,1,2,3,,18,LEPAPESebastien,7554,FRA,1:26.982,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,1,3,1,,15,HirokiYOKOYAMA,7932,JPN,1:27.371,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,1,4,4,,156,ChrisCREVELING,8440,USA,1:27.704,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,2,1,1,,7,SHIJingnan,7728,CHN,1:31.306,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,2,2,3,,14,ViktorKNOCH,6177,HUN,1:31.380,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,2,3,2,,153,KIMSiUn,8626,KOR,1:31.518,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,2,4,4,,32,JUNGHyunWoo(Andy),8575,AUS,1:31.729,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,3,1,4,,3,WUDajing,7729,CHN,1:30.269,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,3,2,2,,80,VincentJEANNE,7890,FRA,1:30.470,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,3,3,1,,54,ColeKRUEGER,7762,USA,1:30.476,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,3,4,3,,154,LEESeonghun,9116,KOR,1:30.560,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,4,1,2,,8,HANTianyu,8388,CHN,1:33.992,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,4,2,1,,155,LIMYongJin,8767,KOR,1:34.086,Q
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,4,3,4,,105,XUHongzhi,8070,CHN,1:34.111,
2015-2016,ISU Shanghai Trophy 2016,1000m,m,Quarterfinals,4,4,3,,33,PierreBODA,7588,AUS,1:34.642,
