season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,1,1,1,,109,JensALMEY,8595,BEL,43.300,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,1,2,3,,149,MarkCHONG,9109,ITA,43.794,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,1,3,5,,204,DavutTAHTACI,8647,TUR,44.808,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,1,4,4,,182,TamasANTAL,9128,ROU,45.024,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,1,5,2,,169,AriffRasydanMOHAMADFADZLI,8632,MAS,46.809,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,2,1,4,,122,MaximeLAOUN,8599,CAN,43.082,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,2,2,1,,102,AlexBRYANT,8577,AUS,43.309,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,2,3,5,,146,TIBORCZDaniel,9106,HUN,44.255,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,2,4,2,,168,SalvijusRAMANAUSKAS,9119,LTU,44.533,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,2,5,3,,147,SohanSudhirTARKAR,8569,IND,47.328,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,3,1,1,,176,ZacharyBIGGS,8635,NZL,44.855,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,3,2,5,,117,VladislavMIKHAILOV,9086,BLR,45.196,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,3,3,2,,212,BenjaminOH,9146,USA,46.557,ADV,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,3,4,3,,114,MakKRSTIC,8597,BIH,51.206,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,3,PEN,4,,164,TomassBAKEVICS,8489,LAT,PEN,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,4,1,1,,119,GEORGIEVDimitar,8541,BUL,45.270,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,4,2,4,,208,StanislavOMELCHENKO,8524,UKR,46.287,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,4,3,2,,130,KOLENCMartin,8604,CRO,notime,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,4,3,3,,192,MichalCUJA,8754,SVK,notime,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Preliminaries,5,1,5,,188,ArtemKOZLOV,8638,RUS,43.166,Q,
