season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,1,6,,155,HANSeungSoo,8673,KOR,1:25.425,QA
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,2,4,,5,ShaoangLIU,8564,HUN,1:25.507,QA
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,3,1,,144,VictorAN,8344,RUS,1:25.587,QB
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,4,3,,161,AYRAPETYANDenis,8098,RUS,1:27.733,QB
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,5,5,,27,ViktorKNOCH,6177,HUN,2:04.958,ADA
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,1,PEN,2,,15,BYKANOVVladislav,6178,ISR,PEN,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,2,2,3,,181,XUHongzhi,8070,CHN,1:25.729,QA
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,2,3,5,,21,NurbergenZHUMAGAZIYEV,7349,KAZ,1:25.834,QB
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,2,4,6,,55,PatrickDUFFY,7917,CAN,1:26.390,QB
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,2,5,2,,168,ZHANGHongchao,8678,CHN,1:28.254,ADB
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1000m,m,Semifinals,2,PEN,1,,156,HONGKyungHwan,9190,KOR,PEN,
