season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,Olympic Winter Games 2018,500m,w,Heats,1,1,3,,24,KimBOUTIN,8542,CAN,43.634,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,1,2,2,,28,MALISZEWSKANatalia,8437,POL,43.725,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,1,3,4,,134,LanaGEHRING,7254,USA,43.825,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,1,4,1,,35,LuciaPERETTI,7160,ITA,43.994,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,2,1,2,,9,AriannaFONTANA,6227,ITA,43.214,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,2,2,1,,29,AndreaKESZLER,7147,HUN,43.274,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,2,3,3,,30,THOMSONKathryn,8465,GBR,1:08.896,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,2,4,4,,7,SCHULTINGSuzanne,8493,NED,notime,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,3,1,3,,13,PROSVIRNOVASofia,8509,RUS,43.376,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,3,2,1,,21,vanKERKHOFYara,7422,NED,43.430,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,3,3,2,,20,WALTERBianca,7232,GER,43.541,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,3,4,4,,27,KIKUCHISumire,7980,JPN,44.838,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,4,1,2,,1,CHRISTIEElise,7135,GBR,42.872,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,4,2,3,,67,QUChunyu,8071,CHN,42.971,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,4,3,4,,3,SHIMSukHee,8092,KOR,43.048,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,4,4,1,,26,PIERRONVeronique,6196,FRA,43.148,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,5,1,1,,5,FANKexin,7694,CHN,43.350,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,5,2,2,,135,BINEYMaame,9144,USA,43.665,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,5,3,3,,128,KIMAlang,8484,KOR,43.724,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,5,4,4,,34,AnastassiyaKRESTOVA,7981,KAZ,43.814,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,6,1,2,,138,VALCEPINAMartina,7159,ITA,43.698,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,6,2,1,,48,HANYuTong,8365,CHN,43.719,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,6,3,4,,19,HUOTMARCHANDTifany,7976,FRA,44.659,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,6,PEN,3,,59,JamieMACDONALD,8997,CAN,PEN,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,7,1,1,,2,MarianneST-GELAIS,7216,CAN,43.437,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,7,2,3,,17,AnnaSEIDEL,8562,GER,43.742,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,7,3,4,,54,vanRUIJVENLara,7710,NED,43.771,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,7,4,2,,31,MagdalenaWARAKOMSKA,8502,POL,44.311,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,8,1,4,,6,CHOIMinJeong,8625,KOR,42.870OR,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,8,2,2,,11,PetraJASZAPATI,8611,HUN,55.641,Q,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,8,3,3,,93,MALAGICHEmina,7989,RUS,56.808,,
2017-2018,Olympic Winter Games 2018,500m,w,Heats,8,PEN,1,,44,CharlotteGILMARTIN,7136,GBR,PEN,,
