season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,1,2,2,,15,BINEYMaame,9144,USA,43.644,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,1,3,4,,102,WANGXiran,9451,CHN,44.865,q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,1,4,3,,129,KONSTANTINOVAEkaterina,8510,RUS,45.027,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,2,1,1,,7,KimBOUTIN,8542,CAN,43.688,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,2,2,2,,145,KIMGeonHee,9188,KOR,43.818,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,2,3,3,,65,SANTOSKristen,8527,USA,43.892,q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,2,4,4,,152,TinekedenDULK,9121,NED,notime,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,3,1,1,,63,ZANGYize,8725,CHN,44.128,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,3,2,2,,56,KasandraBRADETTE,8058,CAN,44.207,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,3,3,4,,21,PetraJASZAPATI,8611,HUN,44.247,q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,3,4,3,,135,STODDARDCorinne,9464,USA,44.507,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,4,1,1,,16,vanRUIJVENLara,7710,NED,43.239,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,4,2,2,,154,SONGYang,9207,CHN,43.977,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,4,3,3,,119,CHOIJiHyun,7711,KOR,44.030,q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,4,4,4,,32,MANOILOVAKatrin,8539,BUL,44.855,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,5,1,1,,105,MONVOISINAurelie,8556,FRA,44.590,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,5,2,3,,113,KIKUCHIMoemi,7584,JPN,44.751,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,5,3,4,,14,THOMSONKathryn,8465,GBR,45.014,q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,5,PEN,2,,127,MAZURNicole,8421,POL,PEN,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,6,1,1,,130,MALAGICHEmina,7989,RUS,44.897,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,6,2,2,,12,vanKERKHOFYara,7422,NED,45.039,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,6,3,3,,68,PatrycjaMALISZEWSKA,6154,POL,47.099,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),500m(1),w,Heats,6,4,4,,121,KIMYeJin,9310,KOR,notime,
