START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.361,12.361,1,12.006,12.006,3,12.628,12.628,4,13.113,13.113,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.419,21.780,1,9.556,21.561,3,9.403,22.031,4,8.981,22.094,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.164,30.943,1,9.306,30.867,4,9.555,31.585,3,9.377,31.470,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.438,40.381,1,9.168,40.035,3,9.376,40.961,4,10.423,41.893,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.350,49.731,1,9.340,49.374,,,,3,8.276,50.169,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
1,9.286,59.016,2,9.643,59.016,4,,1:00.098,3,9.362,59.531,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.647,1:08.662,1,9.454,1:08.470,3,9.703,1:09.800,,,,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.321,1:17.982,1,9.435,1:17.905,4,9.645,1:19.445,3,,1:18.280,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.765,1:27.746,1,9.543,1:27.448,4,9.720,1:29.164,3,9.494,1:27.773,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.553,1:37.299,1,9.268,1:36.716,4,9.736,1:38.899,3,10.206,1:37.978,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.313,1:46.611,1,9.519,1:46.234,4,9.544,1:48.443,3,8.712,1:46.690,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.461,1:56.072,1,9.599,1:55.833,4,9.926,1:58.369,3,9.409,1:56.098,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.623,2:05.694,2,9.520,2:05.352,4,9.941,2:08.310,1,9.166,2:05.264,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.539,2:15.233,1,9.442,2:14.794,4,9.658,2:17.968,2,9.951,2:15.214,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.637,2:24.869,1,9.537,2:24.330,4,9.949,2:27.917,3,9.685,2:24.899,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.821,2:34.690,1,9.393,2:33.723,4,9.825,2:37.741,2,9.703,2:34.602,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.655,2:44.344,1,9.662,2:43.384,4,9.867,2:47.608,2,9.662,2:44.263,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
2,9.458,2:53.802,1,9.768,2:53.152,4,10.015,2:57.623,3,9.634,2:53.897,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.696,3:03.497,1,9.577,3:02.728,4,10.113,3:07.735,2,9.374,3:03.270,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.734,3:13.230,1,9.696,3:12.423,4,9.930,3:17.665,2,9.519,3:12.788,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.820,3:23.050,1,9.607,3:22.029,4,10.190,3:27.854,2,9.605,3:22.393,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.371,3:32.420,1,9.579,3:31.608,4,10.054,3:37.908,2,9.923,3:32.315,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.748,3:42.168,1,9.749,3:41.357,4,9.993,3:47.901,2,9.474,3:41.789,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.647,3:51.815,1,9.811,3:51.168,4,11.349,3:59.249,2,9.499,3:51.288,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.871,4:01.686,1,9.494,4:00.661,4,9.188,4:08.437,2,10.058,4:01.345,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,9.819,4:11.504,1,9.266,4:09.926,4,10.240,4:18.676,2,8.928,4:10.273,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
3,10.26,4:21.762,1,9.71,4:19.627,4,10.46,4:29.133,2,9.84,4:20.112,2002-2003,2002 World Cup 3   Russia,3000MRelay,w,SemiFinals,1
