START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.360,12.360,4,13.467,13.467,3,12.834,12.834,2,12.623,12.623,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
2,9.562,21.922,1,8.423,21.890,3,9.465,22.298,4,9.791,22.413,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.224,31.145,2,9.543,31.433,3,9.578,31.876,4,9.735,32.148,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.294,40.439,2,9.403,40.835,4,10.084,41.960,3,9.645,41.792,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.373,49.812,2,9.198,50.033,4,9.548,51.507,3,9.672,51.464,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.336,59.147,2,9.452,59.485,4,9.863,1:01.370,3,9.473,1:00.937,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.382,1:08.528,2,9.228,1:08.712,4,9.664,1:11.033,3,9.108,1:10.044,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.179,1:17.707,2,9.136,1:17.848,4,9.457,1:20.490,3,9.674,1:19.718,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.283,1:26.989,2,9.910,1:27.758,4,9.659,1:30.148,3,9.870,1:29.588,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.457,1:36.445,2,9.657,1:37.415,4,10.153,1:40.301,3,9.674,1:39.262,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.498,1:45.943,2,9.474,1:46.889,4,9.667,1:49.967,3,10.014,1:49.275,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.558,1:55.500,2,9.341,1:56.229,4,11.509,2:01.476,3,9.650,1:58.924,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.463,2:04.963,2,9.490,2:05.719,4,9.745,2:11.220,3,9.409,2:08.333,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.274,2:14.236,2,9.512,2:15.230,4,9.939,2:21.159,3,9.755,2:18.087,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.372,2:23.607,2,9.809,2:25.039,4,10.381,2:31.539,3,9.843,2:27.929,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.452,2:33.059,2,9.807,2:34.846,4,9.748,2:41.287,3,9.791,2:37.720,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.507,2:42.566,2,9.578,2:44.424,4,10.431,2:51.718,3,10.119,2:47.839,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.597,2:52.163,2,9.639,2:54.062,4,10.171,3:01.888,3,10.013,2:57.852,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.461,3:01.624,2,9.799,3:03.861,4,9.432,3:11.320,3,9.752,3:07.603,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.342,3:10.965,2,10.010,3:13.871,4,10.154,3:21.473,3,9.893,3:17.495,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.524,3:20.489,2,10.079,3:23.949,4,10.322,3:31.794,3,9.832,3:27.327,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.483,3:29.971,2,10.269,3:34.218,4,10.069,3:41.862,3,10.052,3:37.379,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.546,3:39.516,2,9.912,3:44.130,4,10.125,3:51.987,3,10.432,3:47.810,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.653,3:49.169,2,9.995,3:54.124,4,10.112,4:02.098,3,10.243,3:58.053,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,9.555,3:58.724,2,10.055,4:04.178,4,9.772,4:11.870,3,9.848,4:07.900,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,10.160,4:08.884,2,10.510,4:14.687,4,10.122,4:21.991,3,10.191,4:18.091,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
1,10.22,4:19.099,2,10.65,4:25.328,4,10.89,4:32.874,3,10.44,4:28.530,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,SemiFinals,2
