START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,10.321,10.321,4,10.730,10.730,5,10.806,10.806,1,10.228,10.228,3,10.341,10.341,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
1,15.182,25.503,4,14.949,25.678,5,15.125,25.931,2,15.289,25.516,3,15.251,25.591,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
1,14.432,39.935,,,,4,14.403,40.333,2,14.476,39.992,3,14.582,40.173,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,13.203,53.137,2,,53.100,5,12.889,53.221,3,13.119,53.111,1,12.543,52.715,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,11.458,1:04.594,3,11.422,1:04.521,5,11.411,1:04.631,1,11.192,1:04.302,2,11.629,1:04.343,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
2,10.453,1:15.047,4,10.627,1:15.147,5,10.674,1:15.305,3,10.839,1:15.141,1,10.616,1:14.959,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
3,10.859,1:25.905,1,10.188,1:25.334,4,10.617,1:25.922,5,10.863,1:26.003,2,10.696,1:25.655,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,10.457,1:36.362,1,10.021,1:35.355,2,9.777,1:35.698,5,10.362,1:36.365,3,10.313,1:35.967,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
3,9.810,1:46.171,1,9.900,1:45.255,2,9.986,1:45.684,4,9.925,1:46.290,5,11.401,1:47.368,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,10.166,1:56.337,1,10.701,1:55.956,2,10.394,1:56.077,5,10.185,1:56.474,3,8.881,1:56.248,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,9.797,2:06.133,1,9.751,2:05.706,2,9.767,2:05.844,5,10.136,2:06.610,3,9.694,2:05.942,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,9.899,2:16.032,1,9.504,2:15.210,2,9.745,2:15.589,5,10.522,2:17.131,3,9.730,2:15.671,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,9.963,2:25.995,1,9.933,2:25.142,2,9.753,2:25.342,5,10.820,2:27.950,3,9.874,2:25.544,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
4,10.92,2:36.907,2,10.28,2:35.413,1,9.98,2:35.321,5,11.32,2:39.269,3,10.11,2:35.652,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,3
