START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.194,10.194,3,10.536,10.536,4,10.972,10.972,,,,2,10.365,10.365,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
1,14.210,24.404,3,14.247,24.783,4,14.141,25.113,5,,26.466,2,14.058,24.422,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
2,13.394,37.797,4,13.309,38.092,5,13.401,38.513,1,11.274,37.740,3,13.388,37.810,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
2,12.955,50.752,1,12.657,50.748,5,13.018,51.531,4,13.406,51.145,3,13.145,50.954,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
1,13.060,1:03.812,3,13.367,1:04.115,4,12.842,1:04.373,5,13.272,1:04.416,2,12.902,1:03.855,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
1,12.521,1:16.332,4,12.519,1:16.634,5,12.545,1:16.917,3,12.097,1:16.513,2,12.541,1:16.396,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
2,12.012,1:28.343,1,11.246,1:27.879,5,11.846,1:28.763,4,11.931,1:28.443,3,11.953,1:28.348,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
2,10.629,1:38.972,3,11.199,1:39.077,5,10.799,1:39.562,1,10.504,1:38.947,4,10.850,1:39.198,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
3,10.035,1:49.007,1,9.509,1:48.586,5,9.742,1:49.303,4,10.146,1:49.092,2,9.809,1:49.006,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
4,9.791,1:58.797,1,9.413,1:57.998,5,9.688,1:58.991,3,9.535,1:58.627,2,9.314,1:58.319,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
3,9.306,2:08.103,1,9.527,2:07.525,5,9.295,2:08.285,4,9.485,2:08.112,2,9.563,2:07.881,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
3,9.404,2:17.506,2,9.879,2:17.403,4,9.496,2:17.781,5,9.935,2:18.046,1,9.506,2:17.387,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
5,9.632,2:27.138,1,9.065,2:26.467,3,9.250,2:27.030,2,8.905,2:26.951,4,9.692,2:27.079,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
5,10.16,2:37.290,1,10.11,2:36.575,3,9.77,2:36.797,2,9.75,2:36.696,4,9.98,2:37.060,2003-2004,"2004 World Junior Championships, China",1500M,m,Heats,2
