START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.018,9.018,3,8.543,8.543,1,8.420,8.420,2,8.458,8.458,5,9.070,9.070,6,9.699,9.699,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
3,13.444,22.462,2,13.869,22.411,1,13.543,21.962,4,14.011,22.468,5,13.571,22.640,6,13.300,22.998,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,12.797,35.258,3,12.706,35.117,1,12.744,34.705,2,12.617,35.085,4,12.540,35.180,6,12.489,35.487,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
6,12.267,47.525,3,12.325,47.441,1,12.435,47.139,4,12.365,47.449,2,12.135,47.315,5,11.975,47.461,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
3,10.776,58.301,1,10.745,58.186,2,11.152,58.291,6,11.545,58.993,4,11.137,58.451,5,11.486,58.946,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,10.732,1:09.032,4,10.588,1:08.774,1,10.134,1:08.425,2,9.626,1:08.618,6,10.604,1:09.055,3,9.691,1:08.636,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
6,10.332,1:19.364,3,9.921,1:18.694,1,10.129,1:18.554,2,9.995,1:18.613,5,10.128,1:19.183,4,10.229,1:18.865,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,9.839,1:29.203,2,10.018,1:28.712,1,9.873,1:28.427,4,10.583,1:29.195,3,9.767,1:28.950,6,10.401,1:29.265,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
4,9.694,1:38.896,2,9.996,1:38.707,1,9.966,1:38.393,6,9.839,1:39.033,3,9.805,1:38.754,5,9.763,1:39.028,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,9.894,1:48.790,2,9.446,1:48.153,1,9.452,1:47.844,4,9.310,1:48.343,3,9.449,1:48.203,6,10.148,1:49.175,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,9.279,1:58.069,3,9.572,1:57.725,2,9.314,1:57.157,1,8.777,1:57.120,4,9.798,1:58.001,6,9.101,1:58.276,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
6,9.742,2:07.810,2,9.305,2:07.030,1,9.590,2:06.747,3,10.018,2:07.137,4,9.459,2:07.459,5,9.326,2:07.602,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
6,9.690,2:17.500,3,9.619,2:16.648,1,9.494,2:16.241,5,10.037,2:17.174,4,9.283,2:16.741,2,8.802,2:16.404,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
5,9.85,2:27.346,3,10.21,2:26.851,1,9.92,2:26.160,4,10.00,2:27.172,2,9.67,2:26.409,6,30.73,2:47.127,2004-2005,"2004 World Cup 1, China",1500M,m,SemiFinals,3
