START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.033,9.033,2,9.216,9.216,6,13.813,13.813,3,9.434,9.434,5,9.837,9.837,4,9.554,9.554,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
3,12.876,21.908,2,12.603,21.819,4,8.299,22.112,1,12.334,21.768,5,12.300,22.137,6,12.684,22.238,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
1,11.128,33.035,2,11.250,33.068,4,11.188,33.300,3,11.521,33.289,5,11.276,33.413,6,11.356,33.593,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
2,10.576,43.611,1,10.531,43.599,6,10.936,44.235,4,10.695,43.983,3,10.433,43.845,5,10.471,44.063,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
1,9.736,53.347,3,10.085,53.683,5,9.552,53.786,6,10.506,54.488,2,9.671,53.515,4,9.656,53.719,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
2,9.805,1:03.151,3,9.584,1:03.267,5,9.645,1:03.431,6,9.034,1:03.522,1,9.365,1:02.879,4,9.684,1:03.403,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
2,10.231,1:13.381,1,9.841,1:13.107,5,10.479,1:13.910,3,9.923,1:13.445,4,10.816,1:13.695,6,30.272,1:33.674,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
4,9.961,1:23.342,1,9.989,1:23.096,2,9.191,1:23.101,5,10.092,1:23.536,3,9.562,1:23.256,6,17.879,1:51.552,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
3,9.908,1:33.249,1,10.098,1:33.193,4,10.156,1:33.257,5,10.090,1:33.626,2,9.982,1:33.237,6,14.214,2:05.766,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
4,10.393,1:43.642,1,10.084,1:43.276,3,10.094,1:43.351,5,10.310,1:43.936,2,10.104,1:43.341,6,25.755,2:31.521,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
1,9.725,1:53.367,3,10.191,1:53.467,4,10.200,1:53.550,5,9.966,1:53.901,2,10.072,1:53.413,6,12.704,2:44.224,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
5,11.227,2:04.593,3,10.100,2:03.566,2,9.970,2:03.520,4,10.046,2:03.946,1,9.983,2:03.396,6,12.989,2:57.213,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
2,8.794,2:13.386,4,10.354,2:13.920,1,9.846,2:13.365,5,10.296,2:14.242,3,10.114,2:13.509,6,13.264,3:10.476,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
1,10.00,2:23.379,5,10.66,2:24.577,2,10.03,2:23.394,4,10.13,2:24.363,3,10.52,2:24.025,6,20.07,3:30.546,2005-2006,"2006 World Championships, USA",1500M,w,SemiFinals,2
