START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.173,9.173,2,8.872,8.872,1,8.743,8.743,3,9.052,9.052,,,,5,9.637,9.637,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
4,12.459,21.631,3,12.469,21.340,1,12.461,21.203,2,12.236,21.288,,,,5,12.194,21.830,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
4,11.273,32.904,2,11.252,32.592,1,11.312,32.515,3,11.406,32.693,,,,5,11.088,32.917,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
4,10.724,43.627,1,10.648,43.239,2,10.985,43.499,3,10.911,43.604,,,,5,10.832,43.749,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
3,10.750,54.377,1,10.656,53.895,2,10.638,54.137,4,10.782,54.386,,,,5,10.906,54.654,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
3,10.019,1:04.395,2,10.060,1:03.954,4,10.343,1:04.479,5,10.120,1:04.506,,,,1,8.988,1:03.642,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
3,9.755,1:14.150,2,9.703,1:13.657,5,9.700,1:14.178,4,9.660,1:14.165,,,,1,9.903,1:13.544,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,32.371,1:46.521,2,10.151,1:23.808,4,10.047,1:24.225,3,10.031,1:24.196,,,,1,10.136,1:23.679,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,18.720,2:05.240,2,10.239,1:34.046,4,10.334,1:34.558,3,10.287,1:34.483,,,,1,10.056,1:33.734,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,12.529,2:17.769,2,9.922,1:43.968,3,9.740,1:44.298,4,9.833,1:44.315,,,,1,10.188,1:43.922,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,11.149,2:28.917,2,10.175,1:54.143,4,10.238,1:54.535,3,10.131,1:54.445,,,,1,9.947,1:53.868,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,11.707,2:40.624,2,9.919,2:04.061,4,10.133,2:04.668,3,10.075,2:04.520,,,,1,10.003,2:03.871,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,12.187,2:52.811,2,9.855,2:13.916,4,10.073,2:14.740,3,10.186,2:14.705,,,,1,9.723,2:13.593,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
5,,2:52.327,2,9.79,2:23.703,3,9.59,2:24.327,4,10.75,2:25.453,0,,DQ,1,9.99,2:23.581,2005-2006,"2006 World Junior Championships, Romania",1500M,m,SemiFinals,3
