START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,9.442,9.442,0,9.090,9.090,0,9.024,9.024,0,9.316,9.316,0,8.001,8.001,0,9.070,9.070,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,12.113,21.555,0,12.645,21.734,0,12.631,21.655,0,12.221,21.537,0,12.392,20.393,0,12.399,21.469,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,11.616,33.171,0,11.626,33.360,0,10.981,32.636,0,11.145,32.682,0,12.202,32.595,0,11.598,33.067,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,11.082,44.253,0,11.024,44.385,0,11.754,44.390,0,11.296,43.979,0,10.764,43.359,0,11.035,44.102,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,11.621,55.873,0,11.658,56.043,0,11.139,55.529,0,11.653,55.632,0,11.293,54.651,0,11.688,55.791,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,11.336,1:07.209,0,11.403,1:07.445,0,11.371,1:06.900,0,11.345,1:06.977,0,11.844,1:06.495,0,11.375,1:07.166,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.083,1:17.292,0,10.301,1:17.746,0,10.398,1:17.298,0,10.466,1:17.443,0,9.827,1:16.321,0,10.303,1:17.468,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.944,1:28.236,0,10.794,1:28.540,0,10.899,1:28.197,0,10.768,1:28.211,0,10.975,1:27.296,0,10.982,1:28.450,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.173,1:38.409,0,10.325,1:38.865,0,10.152,1:38.349,0,10.322,1:38.534,0,11.410,1:38.706,0,10.257,1:38.707,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.241,1:48.650,0,10.275,1:49.139,0,10.589,1:48.938,0,9.863,1:48.396,0,9.473,1:48.179,0,10.503,1:49.210,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.226,1:58.876,0,10.286,1:59.426,0,10.289,1:59.227,0,10.473,1:58.869,0,10.271,1:58.450,0,10.426,1:59.636,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.303,2:09.179,0,10.193,2:09.619,0,10.271,2:09.498,0,10.131,2:08.999,0,9.419,2:07.869,0,10.596,2:10.232,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.102,2:19.281,0,10.356,2:19.975,0,10.354,2:19.852,0,10.176,2:19.176,0,10.646,2:18.514,0,10.710,2:20.942,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
0,10.451,2:29.731,0,10.855,2:30.830,0,11.305,2:31.156,0,10.416,2:29.591,0,10.196,2:28.710,0,11.489,2:32.431,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepSemiFinals,2
