START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,8.436,8.436,6,8.461,8.461,3,8.362,8.362,1,8.229,8.229,2,8.296,8.296,4,8.434,8.434,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
3,12.117,20.553,4,12.207,20.668,5,12.330,20.692,1,12.029,20.258,2,12.217,20.513,6,12.445,20.879,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
2,10.860,31.413,5,11.181,31.849,4,11.020,31.713,1,11.111,31.369,3,11.085,31.599,6,11.135,32.015,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
2,10.627,42.039,3,10.226,42.075,5,10.692,42.404,1,10.650,42.019,4,10.700,42.298,6,10.561,42.575,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,10.244,52.283,3,10.420,52.495,4,10.092,52.496,2,10.294,52.313,6,10.681,52.979,5,9.928,52.503,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,10.295,1:02.578,3,10.175,1:02.670,5,10.459,1:02.955,2,10.314,1:02.627,6,10.098,1:03.077,4,10.382,1:02.885,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,10.673,1:13.251,3,10.782,1:13.452,5,10.673,1:13.628,2,10.651,1:13.277,6,10.874,1:13.951,4,10.631,1:13.516,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
2,10.242,1:23.493,4,10.226,1:23.678,5,10.308,1:23.935,1,10.131,1:23.409,6,10.063,1:24.014,3,10.095,1:23.610,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,9.668,1:33.161,3,9.709,1:33.387,5,9.507,1:33.442,4,9.982,1:33.391,6,9.775,1:33.789,2,9.731,1:33.341,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,9.475,1:42.636,2,9.354,1:42.740,5,9.623,1:43.065,4,9.565,1:42.956,6,9.581,1:43.370,3,9.510,1:42.852,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,9.558,1:52.194,2,9.636,1:52.376,5,9.537,1:52.602,4,9.514,1:52.470,6,9.606,1:52.975,3,9.529,1:52.380,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,9.610,2:01.804,2,9.584,2:01.960,5,9.581,2:02.183,4,9.548,2:02.018,6,10.266,2:03.242,3,9.579,2:01.960,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,9.699,2:11.503,3,9.775,2:11.735,5,9.750,2:11.932,4,9.774,2:11.792,6,10.448,2:13.689,2,9.712,2:11.671,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
1,10.051,2:21.554,3,10.191,2:21.926,2,9.884,2:21.816,4,10.260,2:22.051,6,11.295,2:24.984,5,10.554,2:22.225,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,2
