START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.620,9.620,4,10.230,10.230,5,10.500,10.500,2,9.900,9.900,3,10.060,10.060,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,14.060,23.690,4,14.290,24.530,5,14.250,24.750,2,14.360,24.260,3,14.400,24.470,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,13.000,36.700,3,12.620,37.160,5,12.580,37.340,4,12.920,37.180,2,12.410,36.890,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,12.520,49.220,4,12.370,49.540,5,12.240,49.580,2,12.190,49.370,3,12.580,49.480,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.990,1:00.220,5,11.670,1:01.220,4,11.300,1:00.890,2,10.970,1:00.350,3,11.080,1:00.560,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
4,11.080,1:11.300,5,10.530,1:11.750,1,10.190,1:11.080,2,10.840,1:11.190,3,10.720,1:11.280,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.110,1:21.410,5,10.370,1:22.130,4,10.960,1:22.040,2,10.370,1:21.570,3,10.450,1:21.740,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.240,1:31.650,3,9.920,1:32.050,5,10.180,1:32.220,2,10.310,1:31.890,4,10.460,1:32.210,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.460,1:42.110,3,10.460,1:42.520,4,10.470,1:42.700,2,10.430,1:42.320,5,10.570,1:42.780,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.410,1:52.520,3,10.470,1:53.000,4,10.330,1:53.030,2,10.330,1:52.650,5,10.720,1:53.500,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.310,2:02.840,2,10.050,2:03.060,4,10.270,2:03.310,3,10.510,2:03.160,5,10.970,2:04.480,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.420,2:13.260,2,10.480,2:13.540,4,10.810,2:14.120,3,10.600,2:13.770,5,11.620,2:16.100,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.310,2:23.570,2,10.300,2:23.850,5,14.750,2:28.870,3,10.630,2:24.400,4,11.730,2:27.830,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
1,10.270,2:33.840,2,10.170,2:34.020,4,8.390,2:37.260,3,11.720,2:36.120,5,12.150,2:39.990,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,RepQuarterfinals,4
