START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,8.72,8.72,1,8.11,8.11,3,8.50,8.50,2,8.44,8.44,5,8.88,8.88,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,11.62,20.34,1,11.80,19.92,2,11.60,20.10,3,11.67,20.11,5,11.53,20.41,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,11.34,31.68,1,11.38,31.31,2,11.43,31.54,3,11.47,31.59,5,11.38,31.80,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,11.81,43.49,1,11.79,43.10,3,11.89,43.44,2,11.73,43.32,5,11.85,43.66,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,11.86,55.36,1,11.86,54.97,3,11.71,55.15,2,11.79,55.12,5,11.73,55.39,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,10.57,1:05.93,1,10.60,1:05.58,2,10.49,1:05.65,3,10.77,1:05.90,5,10.59,1:05.98,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,10.54,1:16.48,1,10.52,1:16.10,2,10.56,1:16.21,3,10.39,1:16.29,5,10.50,1:16.49,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,10.52,1:27.00,2,10.61,1:26.72,1,10.45,1:26.67,3,10.53,1:26.82,4,10.46,1:26.95,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,9.60,1:36.61,4,9.67,1:36.39,2,9.71,1:36.38,3,9.56,1:36.39,1,9.03,1:35.99,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,9.29,1:45.90,4,9.32,1:45.72,2,9.24,1:45.63,3,9.26,1:45.65,1,9.20,1:45.19,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,9.74,1:55.64,3,9.26,1:54.98,4,9.36,1:54.99,2,9.31,1:54.97,1,9.25,1:54.44,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,10.22,2:05.87,1,8.88,2:03.87,4,9.62,2:04.62,3,9.15,2:04.13,2,9.46,2:03.90,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
5,10.89,2:16.76,2,9.63,2:13.50,4,9.87,2:14.50,3,9.46,2:13.59,1,9.40,2:13.31,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
4,11.69,2:28.450,0,,DQ,3,10.98,2:25.473,2,10.19,2:23.775,1,9.63,2:22.931,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,8
