START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.21,12.21,3,12.59,12.59,2,12.41,12.41,4,12.62,12.62,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.29,21.51,2,9.20,21.80,4,10.29,22.71,3,9.22,21.84,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.18,30.70,2,9.32,31.12,4,8.89,31.60,3,9.59,31.44,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.32,40.02,2,9.21,40.34,4,17.07,48.68,3,9.49,40.93,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.19,49.22,2,9.30,49.65,4,11.25,59.93,3,9.40,50.34,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.34,58.57,2,9.36,59.02,4,10.29,1:10.22,3,9.72,1:00.07,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.29,1:07.86,2,9.47,1:08.49,4,9.57,1:19.79,3,9.38,1:09.46,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.37,1:17.23,2,9.62,1:18.11,4,9.90,1:29.70,3,9.18,1:18.64,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.33,1:26.57,2,9.51,1:27.63,4,9.44,1:39.15,3,9.40,1:28.04,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.40,1:35.97,2,9.22,1:36.85,4,9.59,1:48.74,3,9.45,1:37.49,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
1,9.23,1:45.20,2,9.59,1:46.44,4,10.06,1:58.81,3,9.68,1:47.18,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
3,15.34,2:00.55,1,9.59,1:56.04,4,9.62,2:08.44,2,9.76,1:56.94,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
3,9.98,2:10.53,1,9.63,2:05.67,4,10.02,2:18.47,2,9.33,2:06.27,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
3,10.78,2:21.31,1,9.63,2:15.30,4,9.64,2:28.11,2,9.35,2:15.62,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
3,9.85,2:31.16,1,9.68,2:24.99,4,9.98,2:38.10,2,9.50,2:25.13,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
3,9.62,2:40.79,1,9.25,2:34.24,4,9.68,2:47.78,2,9.64,2:34.77,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",3000mRelay,w,Quarterfinals,1
