START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
4,9.45,3:07.17,3,9.43,3:06.94,2,8.93,3:04.97,,,,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.02,3:16.19,3,9.14,3:16.08,2,8.71,3:13.69,1,9.01,3:13.04,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.27,3:25.46,4,9.55,3:25.64,2,9.08,3:22.77,1,9.08,3:22.13,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.55,3:35.01,4,9.63,3:35.27,2,8.97,3:31.74,1,9.01,3:31.14,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.23,3:44.24,4,9.42,3:44.69,2,9.24,3:40.98,1,8.96,3:40.10,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.46,3:53.71,3,8.87,3:53.57,2,9.18,3:50.16,1,8.88,3:48.99,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.50,4:03.21,3,9.37,4:02.94,2,9.01,3:59.18,1,9.00,3:57.99,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.23,4:12.44,3,9.35,4:12.29,2,8.88,4:08.06,1,8.84,4:06.83,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.92,4:22.36,4,10.14,4:22.43,2,9.19,4:17.25,1,9.14,4:15.98,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.86,4:32.22,3,9.73,4:32.17,2,9.24,4:26.50,1,9.12,4:25.10,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.46,4:41.68,3,9.35,4:41.53,2,8.98,4:35.49,1,9.30,4:34.41,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.53,4:51.22,4,9.76,4:51.29,2,9.54,4:45.03,1,9.00,4:43.41,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.51,5:00.73,4,9.55,5:00.85,2,9.16,4:54.20,1,9.01,4:52.42,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.40,5:10.14,4,9.49,5:10.34,2,8.98,5:03.18,1,8.93,5:01.35,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.45,5:19.59,4,9.66,5:20.00,2,9.54,5:12.73,1,8.98,5:10.34,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.87,5:29.46,4,9.64,5:29.65,2,9.07,5:21.81,1,9.22,5:19.56,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.57,5:39.03,4,9.39,5:39.04,2,9.13,5:30.94,1,9.36,5:28.93,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.46,5:48.50,3,9.23,5:48.28,2,9.84,5:40.78,1,8.94,5:37.87,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,9.90,5:58.41,3,9.90,5:58.18,2,8.85,5:49.64,1,9.17,5:47.05,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.41,6:07.82,4,9.81,6:07.99,2,9.12,5:58.76,1,9.10,5:56.15,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.30,6:17.12,4,9.77,6:17.76,2,9.36,6:08.12,1,9.03,6:05.19,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.68,6:26.80,4,9.97,6:27.74,2,9.30,6:17.42,1,9.58,6:14.78,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
3,9.55,6:36.36,4,9.86,6:37.60,2,9.31,6:26.74,1,9.54,6:24.32,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,14.05,6:50.41,3,9.59,6:47.20,2,9.69,6:36.44,1,9.46,6:33.79,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,11.91,7:02.33,3,10.10,6:57.30,2,8.89,6:45.33,1,9.47,6:43.26,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
4,10.85,7:13.173,3,10.70,7:07.993,2,10.79,6:56.117,1,9.78,6:53.032,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",5000mRelay,m,Heats,3
