START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.96,8.96,4,9.07,9.07,6,9.20,9.20,1,8.82,8.82,5,9.09,9.09,2,8.90,8.90,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
4,13.16,22.12,3,13.04,22.11,6,13.15,22.35,2,13.17,21.99,1,12.76,21.85,5,13.32,22.22,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,11.83,33.95,1,11.34,33.45,6,11.89,34.24,3,11.74,33.73,2,11.76,33.61,4,11.71,33.93,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
4,10.91,44.86,1,11.04,44.49,6,10.88,45.12,3,11.02,44.75,2,11.03,44.64,5,11.06,44.99,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
4,11.71,56.57,1,11.71,56.20,6,11.68,56.80,3,11.69,56.44,2,11.68,56.32,5,11.71,56.70,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
4,11.56,1:08.13,1,11.59,1:07.79,6,11.58,1:08.38,3,11.60,1:08.04,2,11.60,1:07.92,5,11.54,1:08.24,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
2,10.86,1:18.99,1,11.05,1:18.84,6,11.15,1:19.53,4,11.21,1:19.25,3,11.16,1:19.08,5,11.14,1:19.38,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
3,10.41,1:29.40,1,10.44,1:29.28,6,10.73,1:30.26,5,10.28,1:29.53,2,10.31,1:29.39,4,10.12,1:29.50,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
4,10.36,1:39.76,3,10.22,1:39.50,6,11.14,1:41.40,5,10.27,1:39.80,1,10.01,1:39.40,2,9.97,1:39.47,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,10.27,1:50.03,4,10.31,1:49.81,6,11.67,1:53.07,3,9.98,1:49.78,2,10.21,1:49.61,1,10.10,1:49.57,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,10.05,2:00.08,4,9.98,1:59.79,6,12.04,2:05.11,3,9.71,1:59.49,2,9.81,1:59.42,1,9.41,1:58.98,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,10.40,2:10.48,4,10.51,2:10.30,6,12.59,2:17.70,2,9.69,2:09.18,3,9.85,2:09.27,1,9.73,2:08.71,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,10.57,2:21.05,4,10.48,2:20.78,6,14.11,2:31.81,1,9.28,2:18.46,3,9.86,2:19.13,2,9.78,2:18.49,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
5,11.26,2:32.303,4,10.95,2:31.722,6,13.26,2:45.068,1,9.82,2:28.274,3,10.29,2:29.413,2,10.10,2:28.588,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,w,Quarterfinals,2
