START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.18,9.18,4,9.00,9.00,5,9.10,9.10,1,8.12,8.12,2,8.73,8.73,3,8.86,8.86,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,11.42,20.60,5,11.01,20.01,3,10.62,19.72,1,11.46,19.58,2,10.95,19.68,4,10.95,19.81,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,11.03,31.63,5,11.33,31.34,3,11.45,31.17,1,11.40,30.98,2,11.37,31.05,4,11.47,31.28,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,11.42,43.05,5,11.49,42.83,3,11.43,42.60,1,11.47,42.45,2,11.42,42.47,4,11.43,42.71,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,11.70,54.75,4,11.12,53.95,5,11.39,53.99,1,11.19,53.64,2,11.32,53.79,3,11.18,53.89,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,12.15,1:06.90,5,11.50,1:05.45,1,10.91,1:04.90,2,11.34,1:04.98,3,11.20,1:04.99,4,11.33,1:05.22,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,13.41,1:20.31,5,11.56,1:17.01,2,11.00,1:15.90,3,11.04,1:16.02,1,10.80,1:15.79,4,10.82,1:16.04,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,14.87,1:35.18,5,12.31,1:29.32,2,11.03,1:26.93,4,11.09,1:27.11,1,11.13,1:26.92,3,10.96,1:27.00,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,15.27,1:50.45,5,12.98,1:42.30,1,10.89,1:37.82,4,11.15,1:38.26,2,10.97,1:37.89,3,11.09,1:38.09,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,13.36,2:03.81,5,13.50,1:55.80,1,10.98,1:48.80,4,11.31,1:49.57,2,10.92,1:48.81,3,10.95,1:49.04,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,13.53,2:17.34,5,14.20,2:10.00,3,11.16,1:59.96,4,11.37,2:00.94,2,10.99,1:59.80,1,10.72,1:59.76,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,13.80,2:31.14,5,14.80,2:24.80,3,11.17,2:11.13,4,11.89,2:12.83,1,10.29,2:10.09,2,10.40,2:10.16,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
6,14.24,2:45.38,5,13.94,2:38.74,3,11.51,2:22.64,4,11.98,2:24.81,2,10.65,2:20.74,1,10.57,2:20.73,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
0,,DNF,5,15.96,2:54.694,3,11.75,2:34.387,4,11.91,2:36.717,2,10.72,2:31.457,1,10.55,2:31.278,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Quarterfinals,6
