START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.13,9.13,1,9.00,9.00,3,9.24,9.24,5,9.51,9.51,4,9.39,9.39,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,13.46,22.59,1,13.45,22.45,3,13.46,22.70,5,13.48,22.99,4,13.46,22.85,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,12.38,34.97,1,12.44,34.89,3,12.39,35.09,5,12.40,35.39,4,12.39,35.24,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,11.90,46.87,1,11.88,46.77,3,11.88,46.97,5,12.30,47.69,4,11.84,47.08,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
3,11.56,58.43,1,11.53,58.30,2,11.35,58.32,5,12.70,1:00.39,4,11.45,58.53,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
3,10.31,1:08.74,2,10.32,1:08.62,1,10.28,1:08.60,5,12.91,1:13.30,4,10.34,1:08.87,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
1,10.06,1:18.80,4,10.39,1:19.01,3,10.35,1:18.95,5,13.15,1:26.45,2,10.02,1:18.89,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,10.33,1:29.13,4,10.38,1:29.39,1,10.17,1:29.12,5,13.97,1:40.42,3,10.30,1:29.19,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,9.84,1:38.97,4,9.81,1:39.20,1,9.66,1:38.78,5,13.48,1:53.90,3,9.90,1:39.09,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,10.06,1:49.03,4,9.98,1:49.18,1,10.17,1:48.95,5,13.76,2:07.66,3,10.04,1:49.13,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
1,10.09,1:59.12,3,10.05,1:59.23,2,10.25,1:59.20,5,14.40,2:22.06,4,10.16,1:59.29,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,10.27,2:09.39,1,10.16,2:09.39,3,10.52,2:09.72,5,13.82,2:35.88,4,10.48,2:09.77,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,10.25,2:19.64,1,10.07,2:19.46,3,10.53,2:20.25,,,,4,10.57,2:20.34,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
2,10.55,2:30.182,1,10.45,2:29.903,3,10.67,2:30.915,,,,4,10.76,2:31.099,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,6
