START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,10.95,10.95,4,10.79,10.79,2,10.53,10.53,1,10.48,10.48,6,11.21,11.21,3,10.68,10.68,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,12.01,22.96,4,12.07,22.86,2,12.14,22.67,1,12.09,22.57,6,11.89,23.10,3,12.08,22.76,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
6,11.13,34.09,5,11.10,33.96,3,11.11,33.78,1,11.11,33.68,2,10.61,33.71,4,11.12,33.88,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,10.28,44.37,6,10.53,44.49,3,10.20,43.98,2,10.24,43.92,1,10.12,43.83,4,10.26,44.14,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,10.04,54.41,6,10.08,54.57,3,10.19,54.17,2,10.19,54.11,1,10.20,54.03,4,10.12,54.26,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
6,10.54,1:04.95,5,10.25,1:04.82,3,10.34,1:04.51,2,10.32,1:04.43,1,10.30,1:04.33,4,10.37,1:04.63,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
6,10.16,1:15.11,5,10.23,1:15.05,3,10.20,1:14.71,2,10.21,1:14.64,1,10.20,1:14.53,4,10.13,1:14.76,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
6,10.18,1:25.29,5,10.06,1:25.11,2,9.83,1:24.54,3,9.98,1:24.62,1,9.93,1:24.46,4,9.95,1:24.71,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,9.99,1:35.28,6,10.20,1:35.31,2,9.42,1:33.96,3,9.43,1:34.05,1,9.41,1:33.87,4,9.44,1:34.15,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,10.36,1:45.64,6,10.45,1:45.76,2,9.58,1:43.54,3,9.59,1:43.64,1,9.57,1:43.44,4,9.61,1:43.76,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,10.55,1:56.19,6,10.87,1:56.63,2,9.62,1:53.16,3,9.64,1:53.28,1,9.66,1:53.10,4,9.58,1:53.34,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,10.90,2:07.09,6,11.26,2:07.89,2,9.61,2:02.77,3,9.62,2:02.90,1,9.54,2:02.64,4,9.75,2:03.09,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,11.26,2:18.35,6,11.58,2:19.47,2,9.40,2:12.17,3,9.41,2:12.31,1,9.40,2:12.04,4,9.89,2:12.98,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
5,11.66,2:30.007,6,11.70,2:31.165,2,9.46,2:21.622,3,9.50,2:21.807,1,9.49,2:21.522,4,10.36,2:23.340,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Heats,2
