START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.06,10.06,5,10.54,10.54,3,10.20,10.20,4,10.36,10.36,6,11.30,11.30,2,10.15,10.15,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,15.27,25.33,5,15.31,25.85,2,15.24,25.44,3,15.21,25.57,6,16.20,27.50,4,15.52,25.67,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,15.23,40.56,5,15.25,41.10,2,15.25,40.69,3,15.21,40.78,6,15.89,43.39,4,15.24,40.91,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,15.21,55.77,5,15.15,56.25,2,15.19,55.88,3,15.20,55.98,6,16.21,59.60,4,15.17,56.08,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,14.51,1:10.28,5,14.60,1:10.85,2,14.47,1:10.35,3,14.51,1:10.49,6,16.74,1:16.34,4,14.57,1:10.65,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
3,12.60,1:22.88,5,12.28,1:23.13,1,12.44,1:22.79,2,12.32,1:22.81,6,17.28,1:33.62,4,12.31,1:22.96,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
3,11.51,1:34.39,5,11.46,1:34.59,1,11.38,1:34.17,2,11.45,1:34.26,6,18.28,1:51.90,4,11.53,1:34.49,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
4,11.77,1:46.16,2,11.45,1:46.04,3,11.90,1:46.07,1,11.71,1:45.97,6,18.40,2:10.30,5,11.76,1:46.25,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
5,10.58,1:56.74,4,10.70,1:56.74,2,10.49,1:56.56,1,10.36,1:56.33,6,19.57,2:29.87,3,10.45,1:56.70,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,9.58,2:06.32,5,10.69,2:07.43,3,10.16,2:06.72,2,10.27,2:06.60,6,18.79,2:48.66,4,10.13,2:06.83,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,9.85,2:16.17,5,10.93,2:18.36,3,10.07,2:16.79,2,10.08,2:16.68,6,18.49,3:07.15,4,9.99,2:16.82,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,10.11,2:26.28,5,11.46,2:29.82,4,10.14,2:26.93,2,10.11,2:26.79,6,18.16,3:25.31,3,10.08,2:26.90,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,10.28,2:36.56,5,11.94,2:41.76,3,10.09,2:37.02,2,10.12,2:36.91,6,18.70,3:44.01,4,10.12,2:37.02,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
1,10.47,2:47.030,5,12.11,2:53.863,3,10.31,2:47.324,2,10.26,2:47.166,6,19.44,4:03.448,4,10.41,2:47.426,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,1
