START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.55,8.55,3,8.67,8.67,6,9.14,9.14,5,9.01,9.01,1,8.54,8.54,4,8.84,8.84,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
1,12.87,21.42,2,12.84,21.51,6,13.00,22.14,5,12.97,21.98,3,13.08,21.62,4,13.02,21.86,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
1,12.98,34.40,2,13.01,34.52,6,13.03,35.17,5,13.08,35.06,3,13.03,34.65,4,13.01,34.87,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
1,13.31,47.71,3,13.32,47.84,5,13.07,48.24,6,13.19,48.25,2,13.07,47.72,4,13.18,48.05,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
3,12.58,1:00.29,2,12.38,1:00.22,5,12.46,1:00.70,6,12.59,1:00.84,1,12.39,1:00.11,4,12.53,1:00.58,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
1,12.02,1:12.31,3,12.23,1:12.45,4,12.00,1:12.70,6,12.11,1:12.95,2,12.23,1:12.34,5,12.13,1:12.71,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
1,11.60,1:23.91,2,11.58,1:24.03,4,11.35,1:24.05,6,11.42,1:24.37,3,11.70,1:24.04,5,11.52,1:24.23,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
3,10.68,1:34.59,4,10.59,1:34.62,1,10.36,1:34.41,6,10.57,1:34.94,2,10.45,1:34.49,5,10.60,1:34.83,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
4,10.57,1:45.16,3,10.34,1:44.96,1,10.29,1:44.70,6,10.46,1:45.40,2,10.36,1:44.85,5,10.48,1:45.31,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
3,9.27,1:54.43,4,9.54,1:54.50,1,9.37,1:54.07,6,9.21,1:54.61,2,9.37,1:54.22,5,9.20,1:54.51,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
4,9.04,2:03.47,6,9.39,2:03.89,1,9.03,2:03.10,5,8.90,2:03.51,3,9.22,2:03.44,2,8.68,2:03.19,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
3,8.80,2:12.27,6,9.53,2:13.42,1,8.98,2:12.08,4,8.90,2:12.41,5,9.57,2:13.01,2,8.98,2:12.17,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
3,9.21,2:21.48,6,9.74,2:23.16,1,9.19,2:21.27,4,9.15,2:21.56,5,10.08,2:23.09,2,9.20,2:21.37,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
4,9.34,2:30.814,5,10.07,2:33.226,1,9.31,2:30.577,3,9.15,2:30.705,6,10.40,2:33.484,2,9.22,2:30.586,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",1500m,m,RepHeats,4
