START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.73,9.73,1,9.32,9.32,,,,2,9.47,9.47,,,,5,9.87,9.87,3,9.60,9.60,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,13.55,23.28,1,13.55,22.87,,,,2,13.54,23.01,,,,5,13.63,23.50,3,13.53,23.13,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,12.81,36.09,1,12.81,35.68,,,,2,12.81,35.82,,,,5,12.75,36.25,3,12.84,35.97,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,12.51,48.60,1,12.53,48.21,,,,2,12.53,48.35,,,,5,12.48,48.73,3,12.50,48.47,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,12.12,1:00.72,1,12.20,1:00.41,,,,2,12.16,1:00.51,,,,5,12.11,1:00.84,3,12.15,1:00.62,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,11.92,1:12.64,1,11.89,1:12.30,,,,2,11.90,1:12.41,,,,5,11.93,1:12.77,3,11.90,1:12.52,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,11.61,1:24.25,1,11.60,1:23.90,,,,2,11.61,1:24.02,,,,5,11.62,1:24.39,3,11.62,1:24.14,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
4,10.64,1:34.89,2,10.81,1:34.71,,,,3,10.79,1:34.81,,,,5,10.60,1:34.99,1,10.47,1:34.61,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
3,10.62,1:45.51,2,10.72,1:45.43,,,,4,10.70,1:45.51,,,,5,10.66,1:45.65,1,10.72,1:45.33,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
3,9.91,1:55.42,4,10.11,1:55.54,,,,2,9.79,1:55.30,,,,5,9.92,1:55.57,1,9.87,1:55.20,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
3,9.49,2:04.91,4,9.56,2:05.10,,,,2,9.55,2:04.85,,,,5,9.75,2:05.32,1,9.59,2:04.79,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
3,9.91,2:14.82,4,9.76,2:14.86,,,,1,9.83,2:14.68,,,,5,9.72,2:15.04,2,9.92,2:14.71,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
2,9.07,2:23.89,4,9.97,2:24.83,,,,1,9.19,2:23.87,,,,5,9.88,2:24.92,3,10.06,2:24.77,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
1,9.43,2:33.317,2,9.67,2:34.493,0,,YC,0,,PEN,0,,DNF,4,10.32,2:35.238,3,10.23,2:34.997,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,RepSemifinals,2
