START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.44,12.44,3,12.61,12.61,2,12.50,12.50,4,12.69,12.69,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.47,21.91,3,9.47,22.08,2,9.49,21.99,4,9.50,22.19,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.42,31.33,3,9.58,31.66,2,9.52,31.51,4,9.59,31.78,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
2,9.43,40.76,3,9.20,40.86,1,9.17,40.68,4,9.16,40.94,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.32,50.08,3,9.41,50.27,2,9.50,50.18,4,14.48,55.42,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.62,59.70,3,9.87,1:00.14,2,9.72,59.90,4,10.56,1:05.98,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.43,1:09.13,3,9.35,1:09.49,2,9.36,1:09.26,4,9.79,1:15.77,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.49,1:18.62,3,9.29,1:18.78,2,9.43,1:18.69,4,10.24,1:26.01,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.41,1:28.03,3,9.61,1:28.39,2,9.47,1:28.16,4,9.38,1:35.39,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.24,1:37.27,3,9.31,1:37.70,2,9.31,1:37.47,4,9.75,1:45.14,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.46,1:46.73,3,9.27,1:46.97,2,9.38,1:46.85,4,9.54,1:54.68,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.45,1:56.18,2,9.32,1:56.29,3,9.56,1:56.41,4,9.48,2:04.16,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.33,2:05.51,2,9.32,2:05.61,3,9.28,2:05.69,4,9.60,2:13.76,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.40,2:14.91,2,9.41,2:15.02,3,9.40,2:15.09,4,9.76,2:23.52,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.37,2:24.28,2,9.51,2:24.53,3,9.93,2:25.02,4,9.76,2:33.28,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.25,2:33.53,2,9.49,2:34.02,3,9.84,2:34.86,4,9.51,2:42.79,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.51,2:43.04,2,9.45,2:43.47,3,9.04,2:43.90,4,10.05,2:52.84,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.54,2:52.58,2,9.35,2:52.82,3,9.85,2:53.75,4,9.52,3:02.36,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.19,3:01.77,2,9.38,3:02.20,3,9.37,3:03.12,4,9.79,3:12.15,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.08,3:10.85,2,9.21,3:11.41,3,8.97,3:12.09,4,10.22,3:22.37,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.23,3:20.08,2,9.23,3:20.64,3,8.90,3:20.99,4,8.94,3:31.31,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.23,3:29.31,2,9.39,3:30.03,3,9.26,3:30.25,4,9.75,3:41.06,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.59,3:38.90,2,9.52,3:39.55,3,9.34,3:39.59,4,9.68,3:50.74,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.52,3:48.42,2,9.72,3:49.27,3,9.90,3:49.49,4,8.86,3:59.60,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.29,3:57.71,2,9.44,3:58.71,3,9.40,3:58.89,4,9.83,4:09.43,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,9.89,4:07.60,2,9.19,4:07.90,3,9.12,4:08.01,4,10.01,4:19.44,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
1,8.78,4:16.380,2,9.17,4:17.065,3,9.10,4:17.103,4,9.88,4:29.313,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",3000mRelay,w,Semifinals,2
