START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,7.83,7.83,3,8.16,8.16,5,8.36,8.36,4,8.27,8.27,2,7.98,7.98,6,8.44,8.44,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
1,11.17,19.00,4,11.04,19.20,6,11.09,19.45,5,11.05,19.32,2,11.12,19.10,3,10.75,19.19,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
5,10.47,29.47,4,10.21,29.41,6,10.18,29.63,3,10.02,29.34,2,10.22,29.32,1,10.10,29.29,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.38,38.85,1,9.40,38.81,6,9.58,39.21,5,9.77,39.11,3,9.55,38.87,4,9.69,38.98,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
1,9.34,48.19,3,9.45,48.26,6,9.38,48.59,5,9.39,48.50,2,9.36,48.23,4,9.42,48.40,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.24,57.43,4,9.36,57.62,6,9.22,57.81,5,9.21,57.71,1,9.12,57.35,3,9.12,57.52,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.20,1:06.63,4,9.22,1:06.84,6,9.28,1:07.09,5,9.22,1:06.93,1,9.20,1:06.55,3,9.23,1:06.75,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.14,1:15.77,4,9.10,1:15.94,6,9.08,1:16.17,5,9.14,1:16.07,1,9.15,1:15.70,3,9.11,1:15.86,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.09,1:24.86,4,9.11,1:25.05,6,9.06,1:25.23,5,9.07,1:25.14,1,9.07,1:24.77,3,9.11,1:24.97,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
2,9.15,1:34.01,4,9.15,1:34.20,6,9.14,1:34.37,5,9.16,1:34.30,1,9.16,1:33.93,3,9.13,1:34.10,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
3,9.18,1:43.19,4,9.16,1:43.36,6,9.22,1:43.59,5,9.17,1:43.47,1,9.17,1:43.10,2,9.09,1:43.19,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
6,10.51,1:53.70,4,9.16,1:52.52,5,9.01,1:52.60,3,8.99,1:52.46,1,9.07,1:52.17,2,9.24,1:52.43,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
6,11.44,2:05.14,4,9.16,2:01.68,5,9.36,2:01.96,2,9.07,2:01.53,1,9.20,2:01.37,3,9.17,2:01.60,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
0,,PEN,4,9.38,2:11.057,5,9.54,2:11.492,3,9.39,2:10.917,2,9.46,2:10.822,1,9.08,2:10.675,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Semifinals,3
