START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,8.98,8.98,1,8.55,8.55,2,8.65,8.65,3,8.73,8.73,4,8.84,8.84,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
1,11.30,20.28,2,11.92,20.47,3,11.94,20.59,4,11.99,20.72,5,11.90,20.74,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
1,10.20,30.48,2,10.11,30.58,3,10.06,30.65,5,10.05,30.77,4,9.99,30.73,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
1,9.92,40.40,5,10.07,40.65,4,9.91,40.56,2,9.63,40.40,3,9.73,40.46,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
3,9.90,50.30,5,9.84,50.49,4,9.83,50.39,1,9.71,50.11,2,9.72,50.18,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
4,10.01,1:00.31,5,9.95,1:00.44,3,9.83,1:00.22,1,9.96,1:00.07,2,10.02,1:00.20,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
4,9.56,1:09.87,5,9.55,1:09.99,2,9.40,1:09.62,1,9.50,1:09.57,3,9.47,1:09.67,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
4,9.59,1:19.46,5,9.60,1:19.59,2,9.60,1:19.22,1,9.56,1:19.13,3,9.64,1:19.31,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
4,9.68,1:29.14,5,9.65,1:29.24,2,9.73,1:28.95,1,9.72,1:28.85,3,9.71,1:29.02,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
3,9.65,1:38.79,4,9.69,1:38.93,,,,1,9.64,1:38.49,2,9.67,1:38.69,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
5,9.71,1:48.50,4,9.56,1:48.49,2,,1:48.23,1,9.65,1:48.14,3,9.62,1:48.31,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
5,9.76,1:58.26,4,9.55,1:58.04,2,9.55,1:57.78,1,9.60,1:57.74,3,9.59,1:57.90,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
5,9.86,2:08.12,1,9.18,2:07.22,2,9.45,2:07.23,3,9.71,2:07.45,4,9.56,2:07.46,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
3,10.23,2:18.347,1,9.15,2:16.368,2,9.71,2:16.939,4,12.88,2:20.328,0,,PEN,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,10
