START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,8.93,8.93,3,9.10,9.10,1,8.74,8.74,4,9.28,9.28,5,9.43,9.43,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
2,11.91,20.84,3,11.76,20.86,1,12.00,20.74,4,11.74,21.02,5,11.77,21.20,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
2,10.92,31.76,3,11.04,31.90,1,11.00,31.74,4,11.01,32.03,5,10.95,32.15,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
3,10.40,42.16,2,10.25,42.15,1,10.39,42.13,4,10.26,42.29,5,10.29,42.44,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
4,10.13,52.29,2,10.06,52.21,1,9.95,52.08,3,9.97,52.26,5,10.05,52.49,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
5,10.62,1:02.91,2,10.38,1:02.59,1,10.40,1:02.48,3,10.43,1:02.69,4,10.30,1:02.79,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
5,10.40,1:13.31,1,10.33,1:12.92,2,10.52,1:13.00,3,10.42,1:13.11,4,10.40,1:13.19,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
3,10.02,1:23.33,1,10.17,1:23.09,2,10.19,1:23.19,5,10.45,1:23.56,4,10.26,1:23.45,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
3,9.96,1:33.29,1,10.05,1:33.14,2,10.03,1:33.22,5,9.91,1:33.47,4,9.92,1:33.37,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
4,9.81,1:43.10,1,9.63,1:42.77,2,9.67,1:42.89,5,9.73,1:43.20,3,9.62,1:42.99,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
4,9.51,1:52.61,1,9.60,1:52.37,2,9.56,1:52.45,5,9.49,1:52.69,3,9.54,1:52.53,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
4,9.40,2:02.01,1,9.39,2:01.76,3,9.47,2:01.92,5,9.54,2:02.23,2,9.32,2:01.85,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
3,9.54,2:11.55,4,9.96,2:11.72,2,9.53,2:11.45,5,9.61,2:11.84,1,9.38,2:11.23,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
3,9.45,2:21.000,4,9.94,2:21.652,2,9.53,2:20.976,5,9.94,2:21.775,1,9.68,2:20.906,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,4
