START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.35,12.35,2,12.46,12.46,3,12.54,12.54,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
1,9.44,21.79,2,9.44,21.90,3,9.48,22.02,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
1,9.47,31.26,2,9.45,31.35,3,9.50,31.52,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
2,9.31,40.57,1,9.07,40.42,3,9.22,40.74,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
2,8.94,49.51,1,9.03,49.45,3,9.07,49.81,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
2,9.28,58.79,1,9.18,58.63,3,9.17,58.98,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
2,9.20,1:07.99,1,9.11,1:07.74,3,9.09,1:08.07,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
2,9.21,1:17.20,1,9.16,1:16.90,3,9.28,1:17.35,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,16.31,1:33.51,1,9.10,1:26.00,2,9.30,1:26.65,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,10.34,1:43.85,1,9.23,1:35.23,2,10.34,1:36.99,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.56,1:53.41,1,9.29,1:44.52,2,8.10,1:45.09,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.85,2:03.26,1,9.34,1:53.86,2,9.56,1:54.65,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.38,2:12.64,1,9.17,2:03.03,2,9.19,2:03.84,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.52,2:22.16,1,9.09,2:12.12,2,9.10,2:12.94,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.02,2:31.18,1,9.24,2:21.36,2,14.58,2:27.52,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,10.00,2:41.18,1,9.27,2:30.63,2,10.08,2:37.60,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.54,2:50.72,1,9.30,2:39.93,2,10.56,2:48.16,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,8.39,2:59.11,1,9.39,2:49.32,2,8.20,2:56.36,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,10.61,3:09.72,1,9.29,2:58.61,2,9.86,3:06.22,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.51,3:19.23,1,9.16,3:07.77,2,9.78,3:16.00,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.28,3:28.51,1,9.31,3:17.08,2,9.70,3:25.70,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.43,3:37.94,1,9.35,3:26.43,2,9.60,3:35.30,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.54,3:47.48,1,9.32,3:35.75,2,9.73,3:45.03,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.58,3:57.06,1,9.30,3:45.05,2,10.00,3:55.03,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,9.52,4:06.58,1,9.37,3:54.42,2,9.83,4:04.86,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,10.95,4:17.53,1,9.38,4:03.80,2,10.24,4:15.10,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
3,8.58,4:26.106,1,9.28,4:13.074,2,9.31,4:24.409,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",3000mRelay,w,Heats,4
