START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.92,9.92,4,10.37,10.37,2,10.05,10.05,5,10.51,10.51,6,10.63,10.63,3,10.25,10.25,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
1,14.35,24.27,4,14.44,24.81,2,14.40,24.45,5,14.45,24.96,6,14.46,25.09,3,14.44,24.69,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
1,13.06,37.33,4,12.97,37.78,2,13.03,37.48,5,12.96,37.92,6,12.98,38.07,3,12.96,37.65,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
1,12.47,49.80,4,12.46,50.24,2,12.46,49.94,5,12.45,50.37,6,12.45,50.52,3,12.49,50.14,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
3,11.81,1:01.61,2,11.33,1:01.57,4,11.77,1:01.71,5,11.44,1:01.81,6,11.41,1:01.93,1,11.38,1:01.52,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
5,11.19,1:12.80,1,10.90,1:12.47,6,11.21,1:12.92,3,10.84,1:12.65,4,10.79,1:12.72,2,11.06,1:12.58,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,11.49,1:24.29,1,11.40,1:23.87,5,11.31,1:24.23,3,11.47,1:24.12,4,11.46,1:24.18,2,11.43,1:24.01,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,10.38,1:34.67,2,10.42,1:34.29,1,9.95,1:34.18,4,10.34,1:34.46,5,10.39,1:34.57,3,10.37,1:34.38,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,9.98,1:44.65,2,9.88,1:44.17,1,9.83,1:44.01,4,9.93,1:44.39,5,9.91,1:44.48,3,9.91,1:44.29,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,9.93,1:54.58,2,9.94,1:54.11,1,9.99,1:54.00,4,9.99,1:54.38,5,9.99,1:54.47,3,9.99,1:54.28,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
5,9.72,2:04.30,2,9.83,2:03.94,1,9.82,2:03.82,4,9.78,2:04.16,6,9.93,2:04.40,3,9.80,2:04.08,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,9.77,2:14.07,2,9.71,2:13.65,1,9.73,2:13.55,4,9.61,2:13.77,5,9.65,2:14.05,3,9.59,2:13.67,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
6,9.89,2:23.96,2,9.32,2:22.97,4,9.68,2:23.23,3,9.39,2:23.16,5,9.69,2:23.74,1,9.08,2:22.75,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
5,10.09,2:34.049,2,9.26,2:32.224,0,,PEN,3,9.24,2:32.394,4,9.84,2:33.578,1,9.22,2:31.963,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,Heats,1
