START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.91,9.91,1,9.36,9.36,4,9.78,9.78,3,9.62,9.62,2,9.50,9.50,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,12.80,22.71,1,12.78,22.14,4,12.78,22.56,3,12.79,22.41,2,12.79,22.29,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,10.98,33.69,1,11.04,33.18,4,10.96,33.52,3,10.98,33.39,2,11.00,33.29,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,10.58,44.27,1,10.64,43.82,4,10.63,44.15,3,10.64,44.03,2,10.64,43.93,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,10.12,54.39,1,10.14,53.96,4,10.13,54.28,3,10.16,54.19,2,10.17,54.10,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,9.96,1:04.35,1,9.96,1:03.92,4,9.95,1:04.23,3,9.94,1:04.13,2,9.94,1:04.04,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
5,9.70,1:14.05,1,9.78,1:13.70,4,9.70,1:13.93,2,9.68,1:13.81,3,9.80,1:13.84,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
4,9.02,1:23.07,2,9.27,1:22.97,3,9.11,1:23.04,1,8.96,1:22.77,5,9.66,1:23.50,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
3,8.98,1:32.05,2,8.99,1:31.96,4,9.13,1:32.17,1,9.08,1:31.85,5,9.84,1:33.34,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
3,9.26,1:41.31,2,9.25,1:41.21,4,9.24,1:41.41,1,9.26,1:41.11,5,10.43,1:43.77,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
3,9.27,1:50.58,2,9.26,1:50.47,4,9.28,1:50.69,1,9.21,1:50.32,5,11.23,1:55.00,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
1,8.93,1:59.51,4,9.42,1:59.89,3,9.16,1:59.85,2,9.20,1:59.52,5,11.96,2:06.96,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
1,8.60,2:08.11,4,9.77,2:09.66,3,9.18,2:09.03,2,9.01,2:08.53,5,13.95,2:20.91,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
1,8.92,2:17.029,4,10.69,2:20.344,3,9.45,2:18.473,2,8.86,2:17.382,0,,notime,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,6
