START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
3,13.03,13.03,2,12.91,12.91,1,12.67,12.67,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.84,22.87,2,9.68,22.59,1,9.91,22.58,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.58,32.45,1,9.67,32.26,2,9.70,32.28,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.97,42.42,2,9.87,42.13,1,9.79,42.07,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.83,52.25,2,9.86,51.99,1,9.89,51.96,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
2,9.66,1:01.91,3,10.03,1:02.02,1,9.60,1:01.56,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
2,9.66,1:11.57,3,9.57,1:11.59,1,9.68,1:11.24,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,10.15,1:21.72,2,9.40,1:20.99,1,9.54,1:20.78,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,10.01,1:31.73,1,9.44,1:30.43,2,9.68,1:30.46,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.35,1:41.08,2,9.75,1:40.18,1,9.50,1:39.96,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.70,1:50.78,1,9.91,1:50.09,2,10.22,1:50.18,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.83,2:00.61,2,10.09,2:00.18,1,9.81,1:59.99,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.46,2:10.07,1,9.60,2:09.78,2,9.91,2:09.90,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,10.21,2:20.28,1,9.58,2:19.36,2,9.93,2:19.83,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.73,2:30.01,1,9.81,2:29.17,2,9.75,2:29.58,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.57,2:39.58,1,9.72,2:38.89,2,9.65,2:39.23,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.66,2:49.24,2,9.90,2:48.79,1,9.51,2:48.74,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.64,2:58.88,1,9.52,2:58.31,2,9.94,2:58.68,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.89,3:08.77,1,9.50,3:07.81,2,9.83,3:08.51,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.97,3:18.74,1,9.45,3:17.26,2,9.68,3:18.19,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
2,9.57,3:28.31,1,9.34,3:26.60,3,10.16,3:28.35,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.97,3:38.28,1,9.67,3:36.27,2,9.90,3:38.25,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.98,3:48.26,1,9.92,3:46.19,2,9.88,3:48.13,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,10.13,3:58.39,1,9.57,3:55.76,2,9.92,3:58.05,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,10.20,4:08.59,1,9.80,4:05.56,2,9.98,4:08.03,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.76,4:18.35,1,9.36,4:14.92,2,9.74,4:17.77,,,,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
3,9.69,4:28.040,1,9.64,4:24.558,2,10.04,4:27.808,0,,PEN,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,3000mRelay,w,Heats,3
