START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.11,9.11,2,8.84,8.84,1,8.73,8.73,6,9.28,9.28,3,9.00,9.00,5,9.26,,7,9.47,9.47,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
3,11.63,20.74,4,12.01,20.85,2,11.87,20.60,1,11.20,20.48,5,11.98,20.98,6,11.86,,7,11.78,21.25,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
3,11.43,32.17,5,11.41,32.26,2,11.47,32.07,1,11.49,31.97,7,11.38,32.36,4,11.13,,6,11.07,32.32,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,10.63,42.80,6,10.66,42.92,4,10.64,42.71,3,10.64,42.61,7,10.64,43.00,2,10.22,,1,9.99,42.31,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
4,10.15,52.95,5,10.06,52.98,6,10.32,53.03,3,10.25,52.86,7,10.13,53.13,2,10.27,,1,10.35,52.66,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,9.69,1:02.64,3,9.39,1:02.37,6,9.70,1:02.73,4,9.65,1:02.51,7,9.71,1:02.84,2,9.48,,1,9.48,1:02.14,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
,,,3,9.66,1:12.03,5,9.47,1:12.20,4,9.64,1:12.15,6,9.50,1:12.34,1,9.69,,2,9.80,1:11.94,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,,1:21.74,4,9.53,1:21.56,1,8.95,1:21.15,7,9.80,1:21.95,6,9.59,1:21.93,2,9.41,,3,9.54,1:21.48,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,8.96,1:30.70,4,9.00,1:30.56,2,9.20,1:30.35,7,9.19,1:31.14,6,9.07,1:31.00,1,8.99,,3,9.01,1:30.49,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,9.25,1:39.95,3,9.15,1:39.71,2,9.23,1:39.58,7,9.29,1:40.43,6,9.15,1:40.15,1,9.19,,4,9.29,1:39.78,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,9.16,1:49.11,3,9.15,1:48.86,2,9.19,1:48.77,7,9.25,1:49.68,6,9.18,1:49.33,1,9.16,,4,9.18,1:48.96,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
5,9.14,1:58.25,3,9.19,1:58.05,2,9.19,1:57.96,7,9.40,1:59.08,6,9.20,1:58.53,1,9.19,,4,9.24,1:58.20,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
4,9.03,2:07.28,2,9.07,2:07.12,3,9.18,2:07.14,7,9.83,2:08.91,6,9.51,2:08.04,1,9.21,,5,9.35,2:07.55,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
1,9.18,2:16.468,,,,3,9.55,2:16.692,6,10.60,2:19.517,5,9.80,2:17.848,,,,4,9.91,2:17.462,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,1
